"",ML13,ML15,ML12,ML10,ML8,ML5,ML6,ML3,ML14,ML1,ML7,ML4,ML2,ML9,ML16,ML11
Acute_cerebrovascular_disease,-0.008,0.961,-0.047,0.056,-0.131,-0.072,0.006,-0.122,0.074,0.012,-0.072,0.066,0.081,-0.034,-0.032,0.061
Transient_cerebral_ischemia,-0.046,0.53,0.144,-0.024,0.188,0.129,0.133,0.181,-0.01,-0.106,0.1,-0.206,-0.065,0.132,-0.092,-0.015
Urinary_incontinence,-0.04,0.416,0.151,-0.115,0.247,0.046,0.072,0.294,-0.088,0.104,0.092,-0.094,-0.047,-0.067,0.022,0.021
Chronic_ulcer_of_skin,-0.234,0.243,0.187,0.072,0.16,-0.07,0.252,-0.058,-0.058,0.118,0.046,0.059,-0.052,0.042,-0.114,0.059
Vision_defects,0.415,0.229,-0.266,-0.138,0.158,0.081,-0.104,0.172,-0.101,0.332,0.017,-0.07,-0.143,0.012,0.071,-0.068
Headache__including_migraine,0.055,0.179,0.06,0.116,0.159,0.175,-0.024,0.053,-0.069,0.051,0.121,0.208,-0.108,-0.078,0.304,-0.124
Ischemic_heart_disease,0.193,0.151,0.399,-0.12,0.008,0.012,0.281,0.04,-0.282,-0.099,0.017,0.157,0.085,0.012,0.054,-0.005
Hyperplasia_of_prostate,0.201,0.15,-0.011,0.032,0.043,0.122,-0.132,0.191,0.107,0.092,0.085,0.114,0.131,0.083,-0.023,-0.016
Obstructive_Sleep_apnea,0.375,0.149,0.046,0.067,-0.102,-0.047,0.235,-0.137,0,0.021,0.072,-0.115,0.034,0.167,0.057,0.069
Chronic_kidney_disease,0.223,0.146,0.309,-0.11,-0.089,-0.127,0.055,0.202,0.05,0.273,-0.283,0.079,-0.07,0.059,0.204,-0.19
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.049,0.141,0.355,-0.072,0.182,-0.139,0.075,-0.029,-0.142,0.112,0.225,0.119,0.005,0.156,0.079,0.013
Anxiety_disorders,0.315,0.128,0.147,0.307,0.016,0.176,-0.136,0.111,-0.256,-0.127,0.08,0.164,0.104,-0.007,0.052,0.082
Depression_and_Mood_disorders,0.119,0.128,0.101,0.226,0.224,0.177,-0.024,0.054,0.045,-0.054,0.222,-0.11,0.069,-0.067,0.174,0.096
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.019,0.098,0.081,-0.138,-0.065,-0.051,0.133,0.105,0.875,-0.038,0.092,-0.062,0.063,-0.019,0.016,0.002
Hypertension,0.193,0.095,0.187,0.162,-0.076,0.16,0.139,0.271,0.146,0.103,-0.049,0.177,-0.035,0.135,0.044,0.026
Glaucoma,0.004,0.091,-0.076,0.055,0.166,0.263,-0.001,0.188,0.025,0.028,-0.072,0.195,0.093,-0.072,0.007,-0.019
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.008,0.09,-0.002,0.247,0.291,0.044,0.028,0.172,-0.076,0.117,0.173,-0.113,-0.03,-0.247,0.08,-0.007
Coagulation_and_hemorrhagic_disorders,0.341,0.079,0.157,0.041,0.027,0.075,0.04,-0.037,0.056,0.322,-0.009,0.116,0.069,-0.179,-0.64,-0.062
Other_nutritional__endocrine__and_metabolic_disorders,-0.001,0.068,-0.064,0.075,0.128,-0.004,0.006,0.045,0.035,0.084,0.068,-0.027,0.932,-0.004,0.028,-0.086
Neoplasms,0.037,0.041,-0.03,-0.03,0.014,-0.018,0.016,0.037,-0.004,0.082,-0.009,0.02,-0.07,-0.008,0.006,0.979
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.076,0.039,0.098,0.172,0.256,0.204,-0.162,-0.094,0.158,-0.047,0.092,0.242,-0.016,-0.059,0.203,0.015
Diverticulosis_and_diverticulitis,-0.041,0.035,-0.033,0.969,-0.023,-0.059,0.014,0.033,-0.085,0.06,-0.028,-0.101,0.07,0.041,-0.01,-0.049
Psoriasis_and_other_inflammatory,0.228,0.034,-0.068,0.27,0.114,-0.326,0.31,-0.151,0.163,0.083,0.15,0.062,-0.317,0.003,0.094,-0.194
Diabetes,-0.055,0.032,-0.054,0.008,0.042,0.174,0.902,0.086,0.097,0.011,-0.029,0.065,0.015,-0.095,0.014,0.029
Esophageal_disorders,0.526,0.027,-0.115,0.057,0.139,0.186,-0.052,0.018,0.195,-0.149,-0.008,-0.123,-0.01,0.117,-0.076,0.04
Peripheral_and_visceral_atherosclerosis,-0.042,0.02,-0.041,-0.099,0.072,-0.061,0.055,0.02,-0.045,0.034,0.068,0.955,-0.029,0.026,-0.015,0.039
Myodesopsia_and_other_eye_disorders,0,-0.001,-0.041,0.026,0.05,0.054,-0.06,0.028,0.001,0.039,0.017,0.016,-0.006,0.969,0.01,-0.009
Cardiac_dysrhythmias,-0.085,-0.003,0.136,0.09,-0.017,0.072,0.026,-0.035,-0.014,0.892,0.003,0.054,0.106,0.051,-0.046,0.127
