"",ML2,ML3,ML1
Obesity,0.111,0.567,-0.047
Disorders_of_lipid_metabolism,0.141,0.524,0.124
Hypertension,0.356,0.521,0.018
Inflammatory_conditions_of_male_genital_organs,-0.183,0.496,-0.127
Obstructive_Sleep_apnea,0.183,0.48,0.171
Hepatic_steatosis_and_other_liver_diseases,-0.272,0.48,0.054
Allergic_rhinitis,-0.056,0.471,0.135
Sexual_disorders,-0.175,0.463,0.042
Alcohol-related_disorders,-0.16,0.441,-0.158
Other_male_genital_disorders,-0.278,0.43,0.267
Diverticulosis_and_diverticulitis,0.168,0.418,-0.234
Neuropathy_and_other_nervous_system_disorders,-0.081,0.41,0.111
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.163,0.407,0.084
Osteoarthritis,0.316,0.403,-0.055
Vision_defects,0.026,0.403,-0.258
Depression_and_Mood_disorders,0.195,0.365,0.046
Diabetes,0.269,0.343,-0.083
Anxiety_disorders,0.044,0.329,0.26
Psoriasis_and_other_inflammatory,0.042,0.309,0.082
Gout,0.283,0.29,-0.023
Headache__including_migraine,0.196,0.282,0.112
Peripheral_and_visceral_atherosclerosis,0.232,0.239,0.003
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.223,0.203,-0.135
Thyroid_disorders,0.177,0.198,-0.066
Hyperplasia_of_prostate,0.266,0.197,0.072
Ischemic_heart_disease,0.381,0.188,-0.112
Osteoporosis,0.249,0.184,0.046
Urinary_incontinence,0.45,0.129,0.086
Chronic_kidney_disease,0.478,0.117,-0.101
Cataract,0.423,0.092,-0.05
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.438,0.076,-0.073
Glaucoma,0.369,0.018,0.257
Esophageal_disorders,0.012,0.014,0.996
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.434,0.013,-0.04
Cardiac_dysrhythmias,0.754,0.003,0.063
Chronic_ulcer_of_skin,0.5,0.003,-0.225
Coagulation_and_hemorrhagic_disorders,0.605,-0.015,0.094
Transient_cerebral_ischemia,0.458,-0.019,-0.183
Acute_cerebrovascular_disease,0.254,-0.025,-0.05
Congestive_heart_failure__nonhypertensive,0.7,-0.029,0.04
Neoplasms,0.311,-0.13,0.198
