"",ML2,ML3,ML1
Other_male_genital_disorders,-0.248,0.542,-0.156
Disorders_of_lipid_metabolism,0.181,0.523,-0.005
Hypertension,0.443,0.522,-0.044
Allergic_rhinitis,-0.067,0.471,0.083
Obesity,0.189,0.465,0.077
Neuropathy_and_other_nervous_system_disorders,-0.139,0.456,0.144
Obstructive_Sleep_apnea,0.043,0.435,0.374
Hepatic_steatosis_and_other_liver_diseases,-0.299,0.435,0.126
Inflammatory_conditions_of_male_genital_organs,-0.135,0.418,0.005
Sexual_disorders,-0.07,0.412,-0.035
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.13,0.411,0.07
Alcohol-related_disorders,-0.091,0.396,-0.029
Depression_and_Mood_disorders,0.092,0.369,0.255
Anxiety_disorders,-0.002,0.359,0.134
Osteoarthritis,0.322,0.343,0.097
Psoriasis_and_other_inflammatory,0.261,0.339,-0.377
Headache__including_migraine,0.256,0.322,-0.112
Vision_defects,0.024,0.315,0.106
Diverticulosis_and_diverticulitis,0.213,0.303,0.057
Myodesopsia_and_other_eye_disorders,0.011,0.286,0.083
Osteoporosis,0.188,0.286,-0.001
Diabetes,0.26,0.284,0.173
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.197,0.279,0.001
Peripheral_and_visceral_atherosclerosis,0.218,0.275,-0.01
Irritable_bowel_and_other_GI_disorders,-0.275,0.274,0.377
Esophageal_disorders,-0.122,0.253,0.09
Hyperplasia_of_prostate,0.234,0.239,0.094
Other_circulatory_disease,0.294,0.227,-0.003
Gout,0.345,0.215,0.043
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.187,0.206,0.059
Ischemic_heart_disease,0.505,0.165,-0.198
Glaucoma,0.376,0.153,-0.121
Thyroid_disorders,0.186,0.133,0.099
Cataract,0.366,0.078,0.162
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.438,0.074,-0.029
Chronic_kidney_disease,0.459,0.065,0.189
Urinary_incontinence,0.051,0.034,0.975
Coagulation_and_hemorrhagic_disorders,0.601,0.006,-0.033
Acute_cerebrovascular_disease,0.252,0,0.007
Cardiac_dysrhythmias,0.682,-0.005,0.134
Neoplasms,0.165,-0.014,0.063
Other_non-traumatic_joint_disorders,0.442,-0.029,0.1
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.28,-0.048,0.354
Congestive_heart_failure__nonhypertensive,0.69,-0.053,0.067
Chronic_ulcer_of_skin,0.377,-0.077,0.316
Transient_cerebral_ischemia,0.423,-0.105,0.151
Heart_valve_disorders,0.332,-0.159,0.343
