"",ML11,ML8,ML12,ML7,ML9,ML5,ML3,ML10,ML4,ML2,ML1,ML6
Coagulation_and_hemorrhagic_disorders,-0.04,0.978,0.102,0.025,0.012,0.022,0.004,0.045,0.003,0.049,0.059,-0.029
Cardiac_dysrhythmias,0.244,0.524,-0.205,-0.07,0.199,0.19,-0.018,0,-0.036,0.115,0.14,0.184
Congestive_heart_failure__nonhypertensive,0.323,0.518,-0.209,0.139,-0.043,0.011,0.061,-0.023,0.037,-0.087,-0.184,0.022
Thyroid_disorders,-0.044,0.189,0.174,0.151,0.077,0.193,0.027,-0.147,-0.085,0.07,0.069,0.053
Obesity,0.236,0.174,0.342,0.07,0.084,0.004,-0.071,-0.098,-0.043,0.138,0.039,0.091
Gout,0.335,0.16,0.131,0.085,0.078,-0.044,0.206,-0.056,-0.193,-0.253,-0.08,0.06
Hepatic_steatosis_and_other_liver_diseases,0.12,0.144,0.159,0.079,0.026,-0.027,0.044,-0.132,-0.138,0.04,0.316,-0.079
Chronic_ulcer_of_skin,0.16,0.135,-0.282,0.011,0.087,-0.014,0.198,0.274,0.019,0.099,-0.07,0.052
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.079,0.132,0.354,0.039,-0.034,0.064,0.144,-0.045,0.271,-0.164,0.004,0.126
Allergic_rhinitis,0.084,0.12,0.375,-0.263,0.074,0.148,0.005,-0.142,0.339,-0.018,-0.078,-0.11
Cataract,0.08,0.12,-0.261,0.386,0.306,0.276,0.137,-0.073,0.025,0.105,-0.177,0.011
Ischemic_heart_disease,0.311,0.105,0.169,-0.155,-0.165,0.064,0.06,0.188,0.017,0.183,0.053,0.005
Chronic_kidney_disease,0.676,0.105,0.067,0.061,-0.061,-0.055,-0.069,0.117,-0.24,0.083,-0.051,-0.142
Vision_defects,0.193,0.104,0.332,-0.169,-0.082,0.116,0.126,0.177,0.068,-0.091,-0.063,-0.018
Hyperplasia_of_prostate,0.2,0.088,0.085,0.047,0.059,0.092,0.036,0.085,0.142,0.067,0.162,0.02
Osteoarthritis,0.212,0.084,0.147,0.049,0.237,0.061,0.146,-0.124,0.1,0.033,-0.025,0.043
Hypertension,0.444,0.078,0.127,0.187,0.19,0.184,-0.048,0.048,-0.008,0.166,-0.013,0.073
Esophageal_disorders,-0.1,0.069,0.494,0.145,0.044,0.15,0.152,-0.02,0.013,-0.178,-0.006,0.05
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.314,0.069,0.008,-0.133,-0.056,-0.082,0.238,0.159,0.222,0.144,-0.025,0.023
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.193,0.054,-0.044,-0.05,0.24,0.055,0.237,0.088,0.231,-0.129,-0.002,0.015
Urinary_incontinence,0.382,0.052,-0.122,-0.016,-0.102,0.057,0.24,0.385,0.163,-0.108,-0.016,0.063
Anxiety_disorders,0.117,0.043,0.225,-0.294,0.269,0.128,0.012,0.102,0.148,0.11,0.1,0.108
Other_nutritional__endocrine__and_metabolic_disorders,-0.006,0.042,-0.007,0.037,0.07,0,0.115,0.065,0.057,-0.016,0.949,-0.078
Acute_cerebrovascular_disease,-0.051,0.038,0.013,0.056,0.052,-0.062,-0.125,0.959,-0.071,0.054,0.072,0.056
Peripheral_and_visceral_atherosclerosis,0.008,0.037,-0.032,-0.041,-0.088,-0.05,0.076,0.018,0.074,0.961,-0.018,0.045
Obstructive_Sleep_apnea,0.105,0.034,0.415,0.019,0.065,0.032,-0.047,0.178,0.019,-0.077,0.018,0.062
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.005,0.031,0.026,0.966,-0.102,-0.033,-0.051,0.067,0.08,-0.06,0.044,0.005
Other_non-traumatic_joint_disorders,0.092,0.027,0.066,0.284,0.188,-0.046,0.218,-0.13,0.117,-0.122,-0.128,0.11
Psoriasis_and_other_inflammatory,0.006,0.02,0.342,0.228,0.291,-0.214,0.143,0.086,0.092,0.123,-0.326,-0.214
Inflammatory_conditions_of_male_genital_organs,-0.068,0.018,-0.001,-0.025,-0.058,1.003,-0.047,-0.039,0.014,-0.056,0.004,-0.004
