"",ML18,ML14,ML16,ML9,ML15,ML17,ML11,ML8,ML12,ML13,ML10,ML3,ML4,ML5,ML6,ML2,ML7,ML1
Congestive_heart_failure__nonhypertensive,0.048,0.928,-0.025,-0.059,-0.056,-0.102,-0.027,0.013,0.019,0.12,0.085,-0.078,0.015,-0.051,0.014,0.014,-0.004,0.093
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.071,0.491,0.069,0.13,-0.144,-0.102,0.062,-0.05,0.091,-0.12,0.023,-0.127,-0.132,0.129,0.259,0.123,0.064,0.066
Ischemic_heart_disease,-0.201,0.411,0.149,0.102,0.19,0.305,0.084,-0.118,0.019,-0.001,0.192,0.242,0.015,-0.058,0.019,-0.122,0.086,-0.115
Chronic_kidney_disease,0.555,0.252,-0.054,0.131,0.177,0.02,-0.252,-0.145,-0.026,0.031,0.195,-0.036,0.036,-0.126,-0.116,-0.073,-0.076,0.036
Glaucoma,-0.014,0.225,0.035,0.104,0.119,0.155,-0.166,0.186,0.082,-0.212,0.087,0.238,0.145,0.058,0.071,0.001,-0.185,0.154
Coagulation_and_hemorrhagic_disorders,-0.043,0.209,0.314,0.06,0.294,0.023,0.165,0.062,0.021,-0.024,-0.039,-0.014,0,-0.136,0.23,-0.14,0.027,0.311
Cardiac_dysrhythmias,0.09,0.199,0.196,0.142,0.094,-0.091,0.051,0.111,0.022,0.143,0.036,0.134,-0.054,0.095,0.057,0.118,-0.078,0.74
Hypertension,0.255,0.188,0.199,0.273,0.097,-0.138,0.127,0.079,-0.018,0.048,0.177,0.132,0.214,-0.109,0.028,0.147,0.032,-0.099
Headache__including_migraine,0.144,0.185,0.02,0.144,0.193,0.141,-0.048,0.087,0.091,0.096,-0.046,0.089,0.304,-0.232,-0.17,-0.092,0.055,-0.154
Diabetes,0.192,0.167,0.048,0.263,0.204,-0.129,0.17,0.054,-0.012,0.348,-0.011,0.247,-0.135,0.167,0.057,0,-0.146,-0.326
Allergic_rhinitis,-0.077,0.146,0.246,0.088,0.032,0.203,0.1,0.136,0.072,0.048,0.045,-0.502,0.194,-0.048,0.033,0.149,-0.084,-0.236
Sexual_disorders,0.248,0.141,0.163,-0.084,0.088,0.004,-0.12,0.067,0.065,-0.208,-0.233,0.091,0.052,0.229,0.015,0.399,-0.007,-0.273
Diverticulosis_and_diverticulitis,0.298,0.128,0.031,0.201,-0.068,0.16,0.302,-0.292,0.173,-0.202,-0.122,-0.068,0.13,-0.001,0.121,-0.128,0.064,0.108
Depression_and_Mood_disorders,0.205,0.114,0.024,0.017,-0.073,0.221,-0.178,0.065,0.327,0.031,0.052,0.084,0.154,0.186,-0.143,0.134,0.047,-0.079
Hyperplasia_of_prostate,0.096,0.1,0.064,0.034,0.102,0.102,0.132,-0.015,0.22,-0.23,0.014,0.023,0.284,-0.174,-0.018,-0.008,0.173,0.138
Obesity,0.357,0.093,0.059,0.002,0.231,-0.166,0.323,0.011,0.027,-0.015,0.06,0.176,0.002,0.173,0.036,0.039,0.186,-0.106
Obstructive_Sleep_apnea,0.616,0.09,-0.022,-0.112,-0.162,0.129,0.261,0.152,0.076,-0.009,-0.093,0.034,0.026,0.057,0.065,-0.051,0.195,0.076
Cataract,0.065,0.087,0.007,0.153,0.022,0.361,-0.085,-0.041,0.095,0.191,0.081,-0.081,0.056,-0.002,-0.309,0.005,0.187,0.239
Chronic_ulcer_of_skin,-0.051,0.083,0.029,-0.019,0.044,0.079,-0.031,-0.118,0.07,0.917,-0.059,-0.008,0.065,0.012,0.061,-0.075,0.031,0.066
Peripheral_and_visceral_atherosclerosis,-0.023,0.05,-0.042,-0.052,-0.02,0.015,0.034,0.025,0.01,-0.06,0.984,0.05,-0.053,0.092,0.021,0.016,0.032,-0.002
Osteoporosis,-0.009,0.022,-0.09,-0.019,-0.007,0.1,-0.094,-0.012,0.076,0.061,0.031,0.04,0.077,-0.028,0.921,0.004,0.088,0.011
Osteoarthritis,0.261,0.018,0.079,0.16,0.125,0.218,-0.008,-0.015,0.03,0.115,-0.026,0.061,0.013,0.178,0.042,-0.062,0.196,0.12
Anxiety_disorders,0.133,0.016,0.227,0.168,0.138,0.136,-0.069,0.327,-0.051,-0.078,0.012,0.038,-0.099,0.179,-0.031,-0.007,0.068,-0.072
Other_male_genital_disorders,-0.047,0.012,-0.094,-0.015,-0.095,-0.044,0.04,0.171,-0.144,0.048,-0.095,0.064,0.841,0.205,0.138,0.046,0.011,-0.036
Alcohol-related_disorders,-0.069,0.007,-0.083,0.021,0.076,0.048,0.105,-0.112,0.011,-0.046,0.036,0.021,0.016,-0.058,0.005,0.945,0.026,0.071
Urinary_incontinence,0.387,-0.001,0.066,0.064,-0.403,0.061,0.093,0.185,0.284,0.336,0.062,-0.084,-0.158,-0.026,-0.025,0.091,0.096,0.052
Thyroid_disorders,-0.012,-0.005,0.059,0.032,0.052,-0.026,-0.053,0.005,-0.036,0.009,0.032,-0.028,0.008,-0.021,0.061,0.028,0.975,-0.042
Esophageal_disorders,-0.02,-0.005,-0.057,-0.02,0.053,0.029,0.036,0.965,0.023,-0.094,0.021,-0.042,0.092,-0.068,-0.003,-0.101,-0.003,0.055
Transient_cerebral_ischemia,-0.06,-0.019,0.935,-0.088,-0.099,-0.019,-0.042,-0.067,0.059,0.038,-0.022,0.08,-0.059,0.055,-0.084,-0.079,0.103,0.082
Gout,0.388,-0.026,0.087,0.079,0.224,0.003,0.16,-0.053,-0.064,-0.027,0.109,-0.141,-0.05,-0.186,0.257,0.021,-0.005,0.091
Hepatic_steatosis_and_other_liver_diseases,-0.004,-0.026,-0.053,-0.07,-0.028,0.117,0.899,0.04,-0.054,-0.016,0.076,-0.05,0.046,0.044,-0.09,0.154,-0.057,0.025
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.064,-0.027,-0.003,0.005,0.054,-0.071,-0.022,0.009,1.003,0.022,0.001,0.023,-0.057,0.017,0.05,0.001,-0.038,-0.019
Inflammatory_conditions_of_male_genital_organs,-0.027,-0.038,0.048,0.044,0.041,0.056,0.034,-0.069,0.03,0.018,0.112,-0.114,0.123,0.931,-0.03,-0.042,-0.029,0.051
Neoplasms,-0.006,-0.04,0.079,0.039,-0.153,-0.002,-0.211,0.22,-0.073,0.14,0.104,-0.103,-0.004,-0.218,0.163,0.142,0.083,0.193
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.282,-0.05,0.348,0.032,0.06,0.208,-0.23,0.062,0.016,0.001,0.086,-0.335,0.16,0.028,0.173,0.123,-0.205,-0.013
Psoriasis_and_other_inflammatory,-0.004,-0.06,-0.08,-0.068,0.954,0.034,-0.022,0.073,0.076,0.055,0.024,-0.104,-0.054,0.047,-0.001,0.115,0.075,0.041
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.068,-0.061,-0.08,1.029,-0.08,0.017,-0.051,-0.013,0.016,-0.023,-0.042,-0.033,-0.013,0.024,-0.017,0.009,0.031,0.04
Disorders_of_lipid_metabolism,0.194,-0.073,0.19,0.19,0.108,-0.094,0.012,0.246,0.004,0.123,0.237,0.126,0.059,0.087,0.013,0.077,0.112,-0.238
Acute_cerebrovascular_disease,-0.01,-0.078,0.161,-0.042,-0.135,0.118,-0.041,-0.027,0.076,0.007,0.134,0.854,0.093,-0.175,0.072,0.07,-0.075,0.031
