"",ML15,ML10,ML1,ML2,ML3,ML9,ML8,ML14,ML6,ML12,ML11,ML5,ML4,ML7,ML13
Congestive_heart_failure__nonhypertensive,-0.041,0.917,0.097,-0.123,-0.103,-0.019,-0.013,0.012,-0.011,-0.053,0.1,-0.059,0.024,0.142,0.061
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.002,0.49,0.156,-0.085,0.146,-0.098,0.039,0.156,-0.144,-0.111,-0.064,-0.111,0.043,-0.112,0.243
Ischemic_heart_disease,0.081,0.424,-0.037,0.27,0.033,-0.085,0.052,-0.071,-0.039,0.161,0.087,0.327,-0.019,-0.01,-0.012
Headache__including_migraine,0.317,0.343,-0.192,0.196,-0.142,-0.008,0.084,0.034,0.143,0.075,0.152,0.139,-0.144,-0.209,-0.164
Chronic_kidney_disease,0.131,0.289,0.086,-0.049,0.062,0.434,0.013,0.057,-0.062,0.098,0,-0.138,-0.194,0.195,-0.124
Glaucoma,-0.158,0.267,0.213,0.156,0.107,0.11,0.162,-0.023,0.2,0.122,-0.241,0.231,-0.172,-0.023,-0.015
Other_circulatory_disease,0.144,0.259,-0.1,0.194,0.114,0.053,0.106,0.01,-0.169,0.179,-0.016,0.213,-0.073,-0.075,0.135
Hypertension,0.334,0.251,0.113,-0.099,0.074,0.356,0.11,0.128,0.182,0.046,0.006,0.103,0.111,0.016,-0.011
Peripheral_and_visceral_atherosclerosis,0.179,0.213,0.262,0.09,0.278,0.071,-0.414,-0.113,-0.081,0.188,-0.172,0.222,0.073,0.091,0.002
Diabetes,0.104,0.198,-0.06,-0.103,0.24,0.193,-0.046,0.255,-0.035,0.174,0.347,0.126,0.127,-0.001,-0.109
Depression_and_Mood_disorders,0.134,0.184,0.015,0.259,0.199,0.116,0.07,0.224,0.051,-0.063,0.06,0.049,-0.174,-0.061,-0.142
Allergic_rhinitis,0.2,0.183,-0.069,0.314,0.093,-0.277,0.052,0.149,0.161,0.097,0.028,-0.299,-0.031,0.042,0.025
Hyperplasia_of_prostate,0.043,0.156,0.103,0.01,0.275,0.179,0.276,-0.066,0.114,0.082,-0.225,0.022,0.042,0.041,0.053
Coagulation_and_hemorrhagic_disorders,0.111,0.127,0.451,0,-0.104,-0.071,-0.031,-0.084,0.005,0.196,-0.018,0.013,0.031,0.243,0.263
Cardiac_dysrhythmias,-0.036,0.125,0.875,-0.036,-0.156,0.07,0.147,-0.072,-0.002,0.013,0.111,0.051,0.078,-0.036,0.031
Diverticulosis_and_diverticulitis,0.316,0.112,0.063,0.107,0.136,0.002,0.303,-0.051,-0.026,-0.194,-0.084,-0.123,0.17,0.01,0.126
Neoplasms,-0.041,0.1,0.205,0.056,0.018,0.06,-0.091,-0.012,-0.046,-0.123,0.096,0.021,-0.162,-0.325,0.142
Heart_valve_disorders,0.035,0.1,0,0.093,0.056,-0.031,0.119,0.045,-0.006,-0.056,0.091,0.016,-0.037,0.909,-0.069
Cataract,-0.068,0.098,0.191,0.3,0.086,0.186,0.157,0.079,-0.1,-0.015,0.237,-0.131,-0.057,-0.02,-0.237
Obstructive_Sleep_apnea,0.398,0.083,0.032,0.114,-0.072,0.244,0.245,0.169,-0.005,-0.314,0.022,-0.12,0.311,-0.13,0.08
Anxiety_disorders,0.235,0.081,0.105,0.22,0.121,-0.106,0.023,0.251,-0.013,0.103,-0.07,0.017,-0.149,-0.155,-0.141
Obesity,0.625,0.065,0.012,-0.133,-0.057,0.195,-0.023,-0.012,0.044,0.17,-0.018,0.06,0.324,0.078,0.022
Esophageal_disorders,0.033,0.064,0.092,0.143,-0.108,0.147,0.007,-0.037,0.317,0.094,-0.291,-0.054,0.014,0.105,-0.029
Osteoporosis,-0.011,0.06,0.02,0.114,0.066,0.044,-0.038,0.029,0.113,0.017,0.073,0.06,-0.098,-0.074,0.909
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.114,0.059,0.196,0.129,0.244,0.147,0.143,-0.092,-0.024,-0.109,0.045,-0.184,-0.21,-0.371,-0.118
Chronic_ulcer_of_skin,-0.048,0.056,0.053,0.039,0.015,0.037,0.002,-0.111,0.036,0.047,0.947,0.008,-0.015,0.067,0.065
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.292,0.052,0.167,0.3,0.14,-0.132,-0.066,0.132,0.111,0.06,-0.021,-0.154,-0.276,-0.032,0.075
Urinary_incontinence,0.167,0.048,0.218,0.108,0.297,0.095,0.056,0.104,-0.207,-0.367,0.232,-0.129,0.067,0.168,0.026
Gout,0.275,0.03,0.051,0.048,-0.147,-0.009,0.439,-0.074,-0.075,0.146,-0.049,-0.104,0.178,0.027,0.253
Alcohol-related_disorders,-0.201,0.026,0.181,0.109,0.168,-0.115,0.063,0.356,-0.042,0.25,-0.13,0.083,0.33,-0.145,0.087
Myodesopsia_and_other_eye_disorders,-0.009,0.025,0.122,0.262,0.167,0.205,0.043,-0.202,0.24,-0.101,-0.081,-0.227,-0.149,0.056,0.155
Hepatic_steatosis_and_other_liver_diseases,0.039,0.014,0.059,0.152,0.122,-0.091,-0.067,0.008,0.069,0.001,-0.028,-0.014,0.921,-0.014,-0.096
Sexual_disorders,-0.035,0.004,-0.072,0.006,-0.116,0.076,0.006,0.98,0.058,0.01,-0.085,0.009,0,0.044,0.02
Disorders_of_lipid_metabolism,0.601,0.001,0.058,0.032,0.123,0.008,-0.172,0.081,0.114,0.136,0.025,0.134,-0.078,0.074,-0.037
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.06,-0.001,0.161,-0.075,0.301,0.022,-0.005,0.233,-0.344,0.057,0.146,0.041,-0.151,0.108,0.182
