"",ML13,ML9,ML12,ML10,ML8,ML7,ML3,ML6,ML4,ML11,ML5,ML2,ML1
Cardiac_dysrhythmias,-0.052,0.947,-0.069,0.103,0.048,-0.05,0.085,-0.04,-0.048,0.046,0.072,0.088,0.118
Congestive_heart_failure__nonhypertensive,0.33,0.474,-0.219,0.224,-0.021,-0.027,-0.097,-0.018,0.086,-0.091,0.046,-0.127,-0.055
Coagulation_and_hemorrhagic_disorders,0.045,0.473,0.045,0.021,0.066,0.078,-0.029,0.059,-0.098,0.239,0.057,-0.163,0.276
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.139,0.4,-0.072,-0.047,0.013,0.114,-0.109,-0.06,0.151,-0.155,-0.079,0.08,-0.031
Glaucoma,0.202,0.295,0.16,-0.194,-0.212,-0.168,0.255,0.122,-0.025,0.099,0.183,0.077,0.012
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.311,0.259,0.156,-0.036,-0.263,0.112,-0.104,-0.007,-0.078,-0.162,-0.14,0.199,-0.244
Neoplasms,-0.09,0.259,0.082,0.082,-0.173,0.117,-0.044,0.05,0.031,-0.104,0.171,-0.212,-0.001
Alcohol-related_disorders,-0.082,0.257,0.173,-0.156,0.323,0.026,0.096,0.047,0.345,0.222,-0.256,-0.08,-0.217
Cataract,-0.006,0.245,0.302,0.21,-0.076,0.161,-0.119,-0.152,0.134,-0.045,-0.03,0.033,0.018
Osteoporosis,-0.029,0.215,0.299,0.138,-0.204,0.259,0.161,0.339,0.033,0.019,-0.035,-0.108,-0.19
Gout,0.383,0.205,0.12,-0.044,0.142,0.077,-0.128,0.009,-0.06,0.182,-0.067,-0.183,0.028
Diverticulosis_and_diverticulitis,0.391,0.196,0.201,-0.127,0.178,0.126,-0.139,0.081,-0.066,-0.194,-0.267,-0.005,0.047
Chronic_kidney_disease,0.551,0.193,0.004,0.064,-0.244,-0.055,-0.076,-0.1,0.12,0.081,-0.11,-0.107,-0.075
Hyperplasia_of_prostate,0.216,0.187,0.113,-0.189,0.086,0.208,0.031,0.162,-0.054,0.063,0.005,-0.145,0.113
Urinary_incontinence,0.179,0.163,0.134,0.359,0.124,0.142,-0.06,-0.26,0.081,-0.414,0.2,0.017,0.048
Hypertension,0.571,0.155,-0.074,0.06,0.113,0.079,0.139,0.183,0.162,0.058,0.016,-0.069,0.086
Osteoarthritis,0.292,0.143,0.241,0.111,-0.054,0.219,-0.001,-0.006,-0.067,0.035,-0.009,0.187,0.061
Obstructive_Sleep_apnea,0.29,0.135,0.12,0.061,0.275,0.228,-0.066,-0.024,0.238,-0.299,0.196,-0.038,-0.015
Peripheral_and_visceral_atherosclerosis,0.266,0.132,0.076,-0.128,0.117,0.115,0.354,-0.168,-0.182,0.122,0.054,0.282,-0.067
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.102,0.109,0.017,0.21,-0.153,0.052,0.136,-0.341,0.148,0.045,0.071,0.109,0.081
Vision_defects,0.07,0.108,-0.139,0.107,0.093,0.149,-0.037,0.4,0.11,0.129,-0.28,0.04,0.139
Transient_cerebral_ischemia,-0.038,0.093,-0.033,0.031,-0.041,0.083,0.102,-0.086,0.043,-0.084,-0.066,0.058,0.906
Chronic_ulcer_of_skin,-0.059,0.078,0.068,0.95,-0.046,0.018,-0.014,0.068,-0.119,0.042,-0.104,0.003,0.041
Esophageal_disorders,-0.036,0.077,0.032,-0.091,0.023,0,-0.039,0.101,0.003,0.043,0.959,-0.059,-0.053
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.349,0.073,0.347,-0.035,-0.202,-0.164,-0.273,0.18,0.06,0.082,0.038,0.031,0.29
Inflammatory_conditions_of_male_genital_organs,-0.05,0.059,0.048,0.015,0.032,-0.028,-0.122,0.138,0.063,0.027,-0.06,0.929,0.054
Psoriasis_and_other_inflammatory,0.051,0.056,0.048,0.063,-0.005,0.081,-0.109,-0.09,0.062,0.934,0.067,0.037,-0.071
Ischemic_heart_disease,0.234,0.051,0.242,0.07,0.009,0.092,0.295,-0.033,-0.08,0.175,-0.098,-0.021,0.131
Acute_cerebrovascular_disease,0.029,0.045,0.119,0.007,-0.033,-0.054,0.918,0.064,0.04,-0.111,-0.036,-0.143,0.131
Hepatic_steatosis_and_other_liver_diseases,-0.004,0.039,0.116,-0.031,0.955,-0.056,-0.04,0.045,-0.018,-0.023,0.018,0.042,-0.043
Anxiety_disorders,0.07,0.038,0.146,-0.057,-0.081,0.082,0.005,-0.093,0.224,0.096,0.302,0.176,0.152
Depression_and_Mood_disorders,0.241,0.002,0.223,0.087,-0.151,0.048,0.104,-0.024,0.212,-0.089,0.089,0.209,0.045
Obesity,0.485,-0.009,-0.155,-0.007,0.329,0.213,0.136,0.009,-0.009,0.168,0.016,0.168,0.043
Other_male_genital_disorders,0.016,-0.045,-0.032,0.046,0.043,0.013,0.039,0.934,0.043,-0.084,0.131,0.143,-0.077
Sexual_disorders,-0.038,-0.05,-0.008,-0.082,-0.029,-0.011,0.008,0.027,0.989,0.026,0.006,0.043,0.036
Thyroid_disorders,-0.045,-0.072,-0.034,-0.006,-0.047,1.006,-0.03,0.015,-0.009,0.046,-0.001,-0.019,0.05
Allergic_rhinitis,0.199,-0.088,0.284,0.074,0.105,-0.069,-0.424,0.179,0.098,0.087,0.098,-0.03,0.205
Headache__including_migraine,0.37,-0.095,0.091,0.177,-0.1,0.039,0.034,0.157,0.115,0.109,0.098,-0.218,0.039
Diabetes,0.419,-0.098,-0.112,0.42,0.11,-0.124,0.187,-0.091,0.219,0.126,0.012,0.163,-0.065
Neuropathy_and_other_nervous_system_disorders,-0.066,-0.1,0.963,0.06,0.129,-0.029,0.099,-0.035,0.011,0.03,0.049,0.049,-0.032
Disorders_of_lipid_metabolism,0.504,-0.146,-0.013,0.086,0.015,0.146,0.176,0.046,0.027,0.108,0.204,0.17,0.108
