"",ML16,ML14,ML15,ML2,ML3,ML10,ML12,ML11,ML7,ML8,ML1,ML5,ML6,ML13,ML4,ML9
Congestive_heart_failure__nonhypertensive,-0.022,0.921,0.087,-0.116,-0.104,-0.058,-0.024,-0.066,0.01,-0.023,0.101,0.139,-0.005,0.027,-0.05,0.053
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.038,0.53,0.133,-0.082,0.115,-0.113,-0.087,-0.084,0.128,-0.021,-0.09,-0.106,-0.165,-0.049,0.119,0.252
Ischemic_heart_disease,0.044,0.434,-0.033,0.287,0.016,0.171,-0.068,0.335,-0.079,0.027,0.051,0.013,-0.002,-0.135,-0.002,-0.019
Peripheral_and_visceral_atherosclerosis,0.011,0.287,0.062,0.073,0.202,0.148,0.155,0.229,-0.175,-0.134,-0.183,0.024,-0.118,0.006,0.217,0.042
Headache__including_migraine,0.318,0.273,-0.128,0.201,-0.074,0.108,-0.06,0.123,0.075,0.175,0.186,-0.194,0.198,0.076,-0.212,-0.218
Glaucoma,-0.181,0.267,0.224,0.132,0.111,0.107,0.086,0.268,-0.03,0.179,-0.222,-0.014,0.135,0.192,0.086,0.005
Chronic_kidney_disease,0.128,0.267,0.127,-0.011,0.08,0.131,0.427,-0.155,0.089,0.198,-0.015,0.214,0.028,-0.159,-0.153,-0.173
Other_circulatory_disease,0.162,0.267,-0.115,0.171,0.113,0.178,0.025,0.25,-0.016,0.109,-0.009,-0.073,-0.221,0.141,0.064,0.145
Hypertension,0.342,0.233,0.163,-0.078,0.105,0.082,0.333,0.112,0.155,-0.078,0.009,0.041,0.224,-0.027,-0.07,-0.049
Diabetes,0.067,0.219,-0.113,-0.116,0.213,0.165,0.21,0.149,0.219,-0.121,0.333,-0.007,-0.065,-0.009,0.158,-0.085
Depression_and_Mood_disorders,0.105,0.187,-0.009,0.241,0.19,-0.064,0.104,0.093,0.206,0.199,0.063,-0.054,0.009,0.07,0.161,-0.128
Allergic_rhinitis,0.164,0.153,-0.056,0.296,0.129,0.119,-0.303,-0.288,0.166,0.041,0.066,0.049,0.156,0.139,0.003,0.004
Cardiac_dysrhythmias,-0.016,0.145,0.895,-0.046,-0.15,0.018,0.062,0.087,-0.081,-0.063,0.12,-0.023,-0.036,0.063,0.111,0.035
Coagulation_and_hemorrhagic_disorders,0.086,0.123,0.449,-0.001,-0.079,0.214,-0.072,-0.001,-0.069,-0.048,0.008,0.235,0.029,0.047,-0.104,0.23
Hyperplasia_of_prostate,0.109,0.111,0.226,0.028,0.334,0.124,0.123,0.026,-0.02,-0.007,-0.212,0.085,0.158,0.022,-0.177,0
Diverticulosis_and_diverticulitis,0.445,0.111,0.167,0.152,0.15,-0.14,-0.027,-0.086,-0.028,-0.09,-0.132,0.073,0.033,-0.219,-0.01,0.081
Obesity,0.659,0.102,-0.05,-0.125,-0.083,0.179,0.202,0.108,-0.043,-0.27,-0.043,0.069,0.02,-0.024,0.181,0.026
Heart_valve_disorders,0.013,0.097,0.006,0.085,0.061,-0.047,-0.044,0.038,0.049,0.039,0.096,0.927,-0.016,0.029,0.015,-0.072
Osteoporosis,0.04,0.081,0.008,0.122,0.059,0.021,0.047,0.049,0.032,0.099,0.071,-0.083,0.105,-0.003,-0.05,0.895
Cataract,-0.058,0.073,0.26,0.306,0.109,0.011,0.163,-0.12,0.097,0.072,0.237,0.016,-0.069,-0.048,-0.022,-0.255
Anxiety_disorders,0.194,0.068,0.052,0.166,0.14,0.095,-0.139,0.061,0.226,0.171,-0.016,-0.177,-0.095,0.301,0.14,-0.129
Neoplasms,-0.1,0.063,0.221,0.031,0.073,-0.113,0.034,-0.017,0.019,0.128,0.168,-0.347,-0.036,0.195,-0.205,0.117
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.135,0.059,0.24,0.145,0.246,-0.083,0.134,-0.15,-0.09,0.247,0.018,-0.339,-0.002,-0.108,0.08,-0.132
Obstructive_Sleep_apnea,0.547,0.05,0.119,0.11,-0.013,-0.276,0.164,-0.087,0.197,-0.227,0.058,-0.105,-0.023,0.157,-0.052,0.047
Chronic_ulcer_of_skin,-0.059,0.049,0.065,0.04,0.015,0.057,0.044,0.001,-0.115,0.011,0.933,0.081,0.053,-0.106,0.021,0.067
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.186,0.048,0.122,0.281,0.152,0.077,-0.129,-0.136,0.134,0.269,0.01,-0.041,0.105,0.09,0.066,0.061
Myodesopsia_and_other_eye_disorders,0.031,0.043,0.14,0.308,0.139,-0.087,0.226,-0.215,-0.19,0.161,-0.136,0.08,0.285,-0.236,0.062,0.14
Urinary_incontinence,0.205,0.021,0.232,0.078,0.345,-0.346,0.046,-0.116,0.113,-0.047,0.286,0.162,-0.23,0.179,-0.051,0.003
Hepatic_steatosis_and_other_liver_diseases,0.109,0.02,0.049,0.152,0.124,-0.005,-0.083,-0.025,0.002,-0.917,-0.022,-0.026,0.058,0.04,0.039,-0.093
Disorders_of_lipid_metabolism,0.437,0.016,-0.049,-0.003,0.124,0.142,0.022,0.163,0.059,0.072,0.064,0.041,0.075,0.173,0.135,-0.03
Osteoarthritis,0.442,0.015,0.158,0.263,-0.097,0.053,-0.027,0.013,-0.07,0.105,0.135,0.018,0.002,-0.024,0.169,0.034
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.031,0.015,0.12,-0.104,0.295,0.061,0.019,0.062,0.204,0.152,0.16,0.099,-0.377,0.061,0.064,0.187
Alcohol-related_disorders,-0.183,0.011,0.257,0.143,0.183,0.277,-0.095,0.046,0.384,-0.344,-0.154,-0.11,0.05,-0.214,-0.138,0.044
Sexual_disorders,-0.032,0.004,-0.085,0.002,-0.125,0.004,0.084,0.013,0.975,0.008,-0.084,0.05,0.049,-0.007,0.081,0.022
Gout,0.402,0.002,0.22,0.074,-0.088,0.211,-0.076,-0.075,-0.031,-0.092,-0.054,0.101,-0.033,-0.038,-0.126,0.199
Esophageal_disorders,-0.018,-0.001,0.054,0.018,-0.007,0.058,0.032,-0.032,-0.025,-0.031,-0.095,0.03,0.112,0.968,-0.043,0.002
Vision_defects,0.221,-0.022,0.17,-0.134,0.159,0.144,-0.237,0.057,0.161,0.016,0.173,-0.287,0.277,-0.212,0.031,0.04
Inflammatory_conditions_of_male_genital_organs,0.011,-0.026,0.075,0.046,0.047,0.039,-0.053,-0.106,0.083,-0.006,0.021,0.013,0.117,-0.044,0.921,-0.044
Other_male_genital_disorders,-0.005,-0.036,-0.024,-0.044,0.031,-0.092,0.015,0.021,0.071,-0.046,0.054,-0.013,0.917,0.145,0.132,0.113
Psoriasis_and_other_inflammatory,0.034,-0.049,0.038,0.026,-0.029,0.959,0.075,-0.128,0.034,-0.003,0.064,-0.034,-0.087,0.075,0.047,0.022
Acute_cerebrovascular_disease,0.006,-0.056,0.07,0.053,0.047,-0.134,0.051,0.945,0.027,0.01,0.003,0.043,0.022,-0.026,-0.108,0.047
Other_non-traumatic_joint_disorders,0.141,-0.068,0.4,-0.018,0.162,0.159,-0.193,0.222,0.067,0.207,-0.005,0.26,-0.011,0.002,-0.086,-0.096
Irritable_bowel_and_other_GI_disorders,-0.057,-0.072,-0.141,-0.026,0.966,-0.033,-0.005,0.05,-0.118,-0.104,0.029,0.037,0.032,-0.019,0.065,0.062
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.024,-0.074,0.004,0.065,-0.004,0.06,0.935,0.059,0.086,0.063,0.06,-0.067,0.01,0.059,-0.038,0.058
Transient_cerebral_ischemia,0.257,-0.109,0.312,-0.032,-0.089,-0.188,-0.074,0.272,0.097,0.211,0.115,0.132,-0.151,-0.109,0.154,-0.049
Neuropathy_and_other_nervous_system_disorders,-0.043,-0.113,-0.058,0.946,-0.036,0.019,0.062,0.072,0.019,-0.154,0.037,0.074,-0.033,0.042,0.046,0.115
Thyroid_disorders,0.487,-0.126,-0.046,-0.139,0.086,0.145,-0.047,-0.097,0.001,0.119,0.057,0.148,-0.002,-0.033,-0.093,0.24
