"",ML16,ML15,ML14,ML12,ML5,ML17,ML9,ML11,ML7,ML3,ML6,ML2,ML13,ML8,ML1,ML4,ML10
Cardiac_dysrhythmias,-0.025,0.884,0.123,-0.042,0.042,0.044,-0.057,-0.014,0.086,-0.159,-0.089,-0.007,0.118,0.042,0.064,0.044,0.105
Coagulation_and_hemorrhagic_disorders,0.042,0.446,0.116,-0.005,0.208,-0.033,-0.089,0.256,-0.015,-0.068,-0.066,0.027,-0.051,0.045,-0.011,0.232,-0.109
Other_non-traumatic_joint_disorders,0.148,0.385,0.016,-0.016,0.198,-0.087,0.106,0.272,0.259,0.218,0.018,-0.039,-0.035,0.068,-0.373,-0.098,-0.034
Transient_cerebral_ischemia,0.232,0.297,-0.1,-0.022,-0.198,-0.1,0.22,0.192,0.256,-0.099,0.08,-0.203,0.029,0.182,0.03,-0.052,0.158
Cataract,-0.012,0.279,0.067,0.338,-0.005,0.203,0.109,0.076,-0.139,0.102,0.087,-0.109,0.031,0.115,0.051,-0.228,-0.026
Neoplasms,-0.032,0.255,0.06,0.043,-0.084,-0.062,0.196,-0.323,-0.039,0.07,0.013,0.048,0.13,-0.014,0.109,0.112,-0.224
Glaucoma,-0.128,0.231,0.219,0.111,0.121,0.058,0.144,-0.081,0.255,0.123,0.014,0.232,-0.034,-0.176,0.09,-0.011,0.048
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.162,0.227,0.046,0.151,-0.101,0.364,0.196,-0.315,-0.15,0.243,-0.098,-0.073,-0.044,0.09,-0.1,-0.1,0.101
Alcohol-related_disorders,-0.171,0.224,-0.04,0.075,0.22,-0.024,-0.367,-0.133,0.015,0.203,0.385,-0.018,-0.039,0.001,0.115,0.05,-0.117
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.133,0.19,0.503,-0.127,-0.105,-0.112,-0.024,-0.129,-0.098,0.181,0.159,-0.147,-0.077,-0.218,0.046,0.243,0.124
Hyperplasia_of_prostate,0.076,0.19,0.087,0.019,0.143,0.055,-0.069,0.055,0.042,0.314,0.007,0.163,0.026,0.081,-0.034,-0.002,-0.205
Diverticulosis_and_diverticulitis,0.512,0.176,0.12,0.142,-0.167,0.017,-0.165,0.103,-0.085,0.212,-0.003,-0.092,-0.223,0.098,-0.182,0.089,0.004
Hypertension,0.372,0.174,0.152,-0.083,0.04,0.432,-0.07,0.066,0.078,0.089,0.191,0.188,-0.086,0.026,0.18,-0.011,-0.093
Gout,0.323,0.162,-0.041,0.027,0.196,0.095,-0.148,0.106,-0.096,-0.128,-0.045,-0.061,0.068,0.05,0.064,0.211,-0.11
Osteoarthritis,0.419,0.146,0.028,0.238,0.082,0.06,0.089,0.038,0.014,-0.101,-0.108,-0.004,0.095,0.004,-0.017,0.059,0.214
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.047,0.12,0.037,-0.11,0.152,-0.123,0.191,0.077,0.098,0.271,0.162,-0.288,0.311,-0.105,-0.011,0.181,0.079
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.213,0.119,0.039,0.248,0.082,-0.1,0.254,-0.017,-0.171,0.157,0.121,0.134,0.047,0.028,0.06,0.055,0.075
Urinary_incontinence,0.034,0.11,0.033,0.082,-0.193,0.073,-0.038,0.147,-0.047,0.156,-0.001,-0.111,0.824,0.131,-0.012,0.018,-0.027
Chronic_ulcer_of_skin,-0.118,0.109,0.175,0.108,0.112,0.233,0.119,0.206,0.046,0.004,-0.288,0.008,0.265,0.153,-0.185,0.161,0.149
Congestive_heart_failure__nonhypertensive,-0.036,0.105,0.894,-0.119,-0.045,0.036,-0.016,0.151,-0.074,-0.121,-0.006,0.018,0.065,0.005,0.085,0.06,-0.058
Obstructive_Sleep_apnea,0.524,0.102,0.063,0.107,-0.165,0.006,-0.211,-0.123,-0.04,-0.058,0.183,0.055,0.344,-0.005,-0.043,0.054,-0.05
Myodesopsia_and_other_eye_disorders,-0.006,0.095,-0.042,0.283,-0.152,0.297,0.125,0.077,-0.237,0.104,-0.152,0.186,-0.07,0.096,0.132,0.177,0.047
Esophageal_disorders,0.042,0.09,0.012,0.059,0.218,-0.271,-0.002,-0.046,-0.021,-0.055,0.019,0.49,0.32,-0.283,0.068,-0.073,-0.147
Inflammatory_conditions_of_male_genital_organs,0,0.072,-0.038,0.043,0.033,-0.039,-0.005,0.013,-0.11,0.039,0.076,0.112,-0.022,0.019,0.075,-0.048,0.933
Acute_cerebrovascular_disease,-0.003,0.069,-0.059,0.06,-0.145,0.015,0.018,0.04,0.935,0.044,0.029,0.025,-0.029,0.023,0.092,0.05,-0.117
Chronic_kidney_disease,0.026,0.062,0.176,-0.013,0.114,0.487,0.193,0.211,-0.151,-0.019,0.099,-0.024,0.155,0.143,0.167,-0.128,-0.181
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.085,0.058,-0.133,0.12,0.123,0.604,0.162,-0.134,0.117,-0.025,0.165,0.081,0.093,-0.219,0.106,0.117,-0.096
Psoriasis_and_other_inflammatory,0.003,0.051,-0.044,0.041,0.954,0.043,-0.004,-0.023,-0.136,-0.02,0.029,-0.068,-0.117,0.058,0.038,0.027,0.04
Hepatic_steatosis_and_other_liver_diseases,0.076,0.044,0.015,0.151,-0.003,-0.053,-0.931,-0.025,-0.027,0.105,0.012,0.054,0.027,0.029,0.055,-0.098,0.032
Anxiety_disorders,0.202,0.039,0.081,0.171,0.154,-0.215,0.165,-0.17,0.047,0.104,0.211,0.02,0.179,0.081,0.055,-0.17,0.111
Peripheral_and_visceral_atherosclerosis,0.006,0.034,0.058,0.029,0.023,-0.002,-0.031,0.036,0.08,0.076,-0.056,-0.075,-0.026,0.064,0.944,0.006,0.068
Vision_defects,-0.02,0.025,-0.022,-0.073,0.053,-0.041,-0.027,-0.13,0.02,0.006,0.064,0.087,0.072,0.965,0.061,0.037,0.018
Osteoporosis,0.015,0.014,0.066,0.126,0.023,-0.001,0.101,-0.074,0.047,0.052,0.023,0.104,0.01,0.043,0.012,0.912,-0.051
Heart_valve_disorders,0.007,0.009,0.09,0.074,-0.038,-0.012,0.036,0.937,0.028,0.052,0.041,0.007,0.077,-0.137,0.031,-0.066,0.02
Ischemic_heart_disease,0.056,-0.006,0.407,0.298,0.089,-0.002,0.025,0.081,0.271,0.033,-0.063,-0.083,-0.261,0.185,0.18,-0.016,-0.026
Other_male_genital_disorders,0.003,-0.015,-0.013,-0.028,-0.107,0.043,-0.048,0.013,0.017,0.054,0.051,0.916,-0.101,0.133,-0.079,0.131,0.152
Depression_and_Mood_disorders,0.101,-0.025,0.194,0.243,0.003,-0.067,0.228,-0.066,0.114,0.149,0.184,0.072,0.247,0.069,0.059,-0.131,0.153
Disorders_of_lipid_metabolism,0.438,-0.043,-0.033,-0.02,0.131,0.122,0.086,0.076,0.109,0.086,0.066,0.129,0.02,-0.017,0.237,-0.027,0.119
Neuropathy_and_other_nervous_system_disorders,-0.032,-0.048,-0.11,0.943,0.037,0.009,-0.158,0.059,0.065,-0.033,0.028,-0.008,0.054,-0.091,0.038,0.13,0.045
