"",ML5,ML4,ML3,ML2,ML1
Cardiac_dysrhythmias,-0.042,0.861,0.065,-0.069,0.036
Congestive_heart_failure__nonhypertensive,0.027,0.698,-0.063,-0.034,0.018
Coagulation_and_hemorrhagic_disorders,-0.102,0.661,0.044,0.12,0.088
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.02,0.459,0.065,0.068,-0.083
Urinary_incontinence,0.142,0.389,0.089,0.106,0.067
Chronic_ulcer_of_skin,0.141,0.381,-0.146,0.061,-0.24
Glaucoma,0.171,0.371,-0.122,-0.212,0.229
Chronic_kidney_disease,0.313,0.37,-0.228,-0.062,-0.12
Transient_cerebral_ischemia,0.09,0.349,-0.183,0.147,-0.186
Ischemic_heart_disease,0.19,0.333,0.036,0.082,-0.124
Cataract,0.147,0.333,-0.018,0.132,-0.063
Gout,0.149,0.331,0.167,0.104,-0.027
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.177,0.319,-0.186,0.021,-0.053
Hypertension,0.488,0.314,0.106,0.087,0.003
Peripheral_and_visceral_atherosclerosis,0.129,0.27,0.197,0.06,-0.008
Acute_cerebrovascular_disease,0.053,0.243,-0.059,-0.109,-0.065
Hyperplasia_of_prostate,0.114,0.237,0.123,0.212,0.071
Diabetes,0.41,0.226,0.076,-0.126,-0.114
Neoplasms,-0.011,0.225,-0.191,0.104,0.198
Osteoarthritis,0.43,0.203,0.015,0.196,-0.062
Osteoporosis,0.164,0.199,-0.097,0.217,0.06
Obstructive_Sleep_apnea,0.307,0.19,0.303,0.194,0.164
Diverticulosis_and_diverticulitis,0.291,0.173,0.259,0.104,-0.246
Obesity,0.315,0.155,0.333,0.225,-0.045
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.311,0.13,-0.133,0.042,-0.142
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.615,0.061,-0.148,-0.14,0.06
Depression_and_Mood_disorders,0.542,0.054,-0.088,-0.006,0.024
Esophageal_disorders,0.033,0.033,0.012,0.006,0.992
Headache__including_migraine,0.463,0.029,-0.138,0.061,0.098
Psoriasis_and_other_inflammatory,0.255,0.026,0.025,0.146,0.09
Disorders_of_lipid_metabolism,0.568,0.023,0.006,0.147,0.118
Hepatic_steatosis_and_other_liver_diseases,-0.047,0.016,1.001,-0.042,0.024
Vision_defects,0.324,-0.016,0.091,0.183,-0.252
Alcohol-related_disorders,0.182,-0.018,0.439,-0.01,-0.168
Thyroid_disorders,-0.024,-0.025,-0.039,1.006,0.004
Anxiety_disorders,0.403,-0.04,-0.049,0.068,0.256
Neuropathy_and_other_nervous_system_disorders,0.347,-0.063,0.32,-0.078,0.084
Allergic_rhinitis,0.468,-0.087,0.127,-0.022,0.121
Inflammatory_conditions_of_male_genital_organs,0.424,-0.145,0.21,-0.07,-0.14
Sexual_disorders,0.518,-0.231,0.023,-0.044,0.034
Other_male_genital_disorders,0.357,-0.257,0.135,0.022,0.269
