"",ML8,ML9,ML1,ML4,ML7,ML3,ML5,ML6,ML2
Urinary_incontinence,-0.07,0.542,0.042,0.009,0.061,-0.025,-0.007,0.309,0.091
Congestive_heart_failure__nonhypertensive,-0.166,0.44,0.503,0.164,0.007,-0.056,-0.181,-0.059,-0.002
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.088,0.439,0.051,-0.121,-0.085,0.211,-0.005,0.096,0.151
Chronic_ulcer_of_skin,-0.164,0.428,0.137,-0.037,-0.04,0.12,-0.016,0.216,-0.019
Conduction_disorders,0.026,0.422,-0.189,0.367,-0.167,0.017,0.154,-0.193,0.124
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.158,0.409,0.061,-0.102,0.026,-0.121,0.089,0.032,0.175
Chronic_kidney_disease,0.149,0.377,0.08,0.171,-0.061,0.096,-0.077,0.102,-0.287
Transient_cerebral_ischemia,0.035,0.371,-0.015,0.05,0.114,-0.169,-0.029,0.425,0.089
Hypertension,0.271,0.342,0.064,0.237,0.177,0.163,0.009,0.06,-0.053
Gout,0.233,0.324,0.157,0.105,-0.044,-0.203,-0.043,-0.091,-0.253
Cardiac_dysrhythmias,-0.07,0.313,0.506,-0.056,0.185,0.121,0.163,0.022,-0.068
Neuropathy_and_other_nervous_system_disorders,0.15,0.305,0.051,-0.174,-0.084,0.232,0.286,-0.259,-0.195
Cataract,0.037,0.297,0.142,0.295,0.217,0.065,-0.077,-0.107,0.004
Osteoarthritis,0.333,0.261,0.083,0.031,0.042,0.036,0.044,-0.142,0.05
Myodesopsia_and_other_eye_disorders,0.143,0.23,-0.359,-0.13,0.062,0.072,0.086,-0.11,-0.065
Other_non-traumatic_joint_disorders,0.264,0.217,0.038,0.245,-0.062,-0.098,-0.06,-0.157,0.07
Ischemic_heart_disease,0.073,0.204,0.089,-0.079,0.089,0.246,0.023,0.166,-0.024
Depression_and_Mood_disorders,0.287,0.195,-0.068,0.011,0.176,-0.102,0.131,0.097,0.211
Neoplasms,-0.07,0.187,-0.058,0.067,0.087,0.191,-0.181,0.143,-0.073
Headache__including_migraine,0.304,0.175,-0.149,-0.102,0.187,0.203,-0.046,0.145,0.127
Hyperplasia_of_prostate,0.172,0.171,0.075,0.069,0.09,0.08,0.175,0.077,0.108
Diverticulosis_and_diverticulitis,0.449,0.146,0.047,-0.257,-0.147,-0.269,0.295,0.068,-0.019
Disorders_of_lipid_metabolism,0.386,0.144,-0.047,0.311,-0.015,0.077,0.169,-0.062,-0.137
Glaucoma,0.077,0.14,0.012,0.014,0.224,0.179,0.163,0.03,-0.047
Anxiety_disorders,0.35,0.132,0.034,-0.3,0.128,0.1,0.139,0.122,0.115
Diabetes,0.101,0.109,0.015,0.435,0.335,0.21,0.064,0.093,-0.133
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.25,0.095,-0.062,0.011,0.171,0.215,0.034,-0.003,0.093
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.34,0.089,0.124,0.069,0.096,-0.098,0.004,-0.057,0.222
Obesity,0.347,0.072,0.152,0.131,0.023,0.149,0.03,-0.063,-0.071
Vision_defects,0.328,0.067,0.107,-0.123,0.139,-0.032,-0.071,0.154,0.026
Other_male_genital_disorders,0.311,0.045,-0.474,0.146,0.309,0.113,0.16,-0.027,-0.068
Asthma,0.01,0.026,0.001,0.079,0.008,0.067,0.042,-0.038,0.977
Acute_cerebrovascular_disease,0.018,-0.001,0.036,0.04,-0.054,0.034,0.05,0.972,-0.054
Peripheral_and_visceral_atherosclerosis,-0.024,-0.023,0.036,-0.039,-0.055,0.993,-0.017,0.016,0.063
Obstructive_Sleep_apnea,0.402,-0.024,0.025,0.059,0.057,-0.066,0.007,0.202,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.009,-0.027,0.033,0.982,-0.032,-0.06,0.029,0.061,0.089
Psoriasis_and_other_inflammatory,0.595,-0.031,0.055,0.148,-0.259,0.068,-0.218,0.054,0.077
Inflammatory_conditions_of_male_genital_organs,-0.04,-0.031,0.024,-0.029,1,-0.058,-0.016,-0.04,0.028
Allergic_rhinitis,0.452,-0.036,0.118,-0.246,0.151,-0.026,-0.062,-0.14,0.315
Other_nutritional__endocrine__and_metabolic_disorders,-0.069,-0.036,0.034,0.036,-0.006,-0.018,1.008,0.045,0.048
Hepatic_steatosis_and_other_liver_diseases,0.184,-0.044,0.134,0.103,-0.031,0.041,0.335,-0.132,-0.153
Coagulation_and_hemorrhagic_disorders,0.1,-0.049,0.97,0.021,0.031,0.053,0.069,0.052,-0.002
Thyroid_disorders,0.199,-0.068,0.186,0.141,0.193,0.07,0.087,-0.133,-0.09
Esophageal_disorders,0.522,-0.12,0.07,0.127,0.164,-0.146,0.014,-0.027,-0.013
Sexual_disorders,0.452,-0.131,0.013,0.047,0.005,0.201,0.139,0.034,-0.087
