"",ML6,ML7,ML5,ML1,ML2,ML3,ML4
Disorders_of_lipid_metabolism,-0.025,0.604,0.003,0,0.126,0.149,0.1
Hypertension,0.3,0.581,-0.057,0.102,0.072,0.024,0.039
Sexual_disorders,-0.242,0.531,-0.002,0.017,-0.067,0.063,0.071
Diabetes,0.218,0.484,-0.016,0.056,-0.129,-0.106,-0.033
Obesity,0.123,0.469,-0.137,0.344,0.206,-0.023,0.016
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.032,0.466,0.272,-0.192,-0.144,0.083,0.159
Headache__including_migraine,0.051,0.419,0.098,-0.174,0.066,0.101,-0.042
Inflammatory_conditions_of_male_genital_organs,-0.188,0.413,0.057,0.203,-0.089,-0.107,0.131
Depression_and_Mood_disorders,0.031,0.404,0.238,-0.13,-0.003,0.042,0.101
Chronic_kidney_disease,0.4,0.371,-0.002,-0.263,-0.046,-0.137,-0.147
Allergic_rhinitis,-0.064,0.36,0.205,0.084,-0.023,0.134,0.042
Anxiety_disorders,-0.113,0.358,0.127,-0.058,0.048,0.283,0.185
Vision_defects,-0.019,0.348,-0.124,0.118,0.168,-0.217,0.078
Other_male_genital_disorders,-0.184,0.347,-0.012,0.113,0.024,0.273,-0.134
Osteoarthritis,0.175,0.329,0.246,-0.035,0.205,-0.057,0.063
Obstructive_Sleep_apnea,0.166,0.3,0.093,0.282,0.194,0.177,0.038
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.185,0.278,0.118,-0.196,0.074,-0.17,-0.22
Psoriasis_and_other_inflammatory,0.092,0.269,0.085,-0.037,0.172,0.057,-0.259
Diverticulosis_and_diverticulitis,0.174,0.256,0.133,0.223,0.113,-0.241,0.004
Gout,0.357,0.17,0.093,0.126,0.12,-0.045,-0.099
Alcohol-related_disorders,0.064,0.153,0.181,0.362,0.019,-0.198,-0.231
Peripheral_and_visceral_atherosclerosis,0.264,0.124,0.124,0.165,0.068,-0.015,-0.01
Congestive_heart_failure__nonhypertensive,0.756,0.117,-0.186,-0.037,-0.024,0.017,-0.078
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.267,0.103,0.078,-0.179,0.02,-0.033,0.163
Urinary_incontinence,0.314,0.088,0.148,0.082,0.103,0.083,0.181
Glaucoma,0.379,0.087,0.194,-0.16,-0.196,0.218,0.005
Ischemic_heart_disease,0.302,0.081,0.311,-0.017,0.091,-0.13,0.109
Hyperplasia_of_prostate,0.239,0.072,0.095,0.108,0.218,0.073,0.033
Transient_cerebral_ischemia,0.06,0.047,-0.02,-0.048,0.053,-0.066,0.953
Chronic_ulcer_of_skin,0.345,0.045,0.207,-0.177,0.075,-0.242,0.092
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.5,0.04,-0.075,0.078,0.078,-0.079,-0.023
Esophageal_disorders,0.049,0.026,0.009,0.011,0.006,0.987,-0.056
Cataract,0.303,0.023,0.323,-0.078,0.153,-0.078,0.046
Hepatic_steatosis_and_other_liver_diseases,0.037,-0.004,0.099,0.969,-0.041,0.022,-0.049
Osteoporosis,0.27,-0.006,0.367,-0.195,0.265,0.012,-0.198
Neuropathy_and_other_nervous_system_disorders,-0.088,-0.01,0.975,0.116,-0.03,0.025,-0.018
Thyroid_disorders,-0.049,-0.017,-0.021,-0.028,1.004,0.005,0.034
Cardiac_dysrhythmias,0.791,-0.028,-0.017,0.101,-0.073,0.06,0.219
Acute_cerebrovascular_disease,0.117,-0.044,0.26,-0.068,-0.125,-0.046,0.323
Neoplasms,0.235,-0.096,0.082,-0.197,0.118,0.193,0.013
Coagulation_and_hemorrhagic_disorders,0.604,-0.127,0.077,0.06,0.119,0.098,0.19
