"",ML17,ML13,ML6,ML9,ML16,ML2,ML11,ML5,ML4,ML3,ML7,ML8,ML1,ML15,ML10,ML14,ML12
Congestive_heart_failure__nonhypertensive,-0.06,0.889,-0.016,-0.008,-0.072,0.041,0.109,0.037,-0.063,0.017,0.008,-0.107,0.159,-0.101,-0.1,-0.111,-0.014
Ischemic_heart_disease,-0.043,0.459,0.107,-0.08,0.326,-0.01,-0.228,0.023,0.167,0.015,0.015,0.18,-0.165,0.111,0.009,0.012,0.011
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.105,0.359,0.16,-0.095,0.045,0.179,-0.136,-0.147,0.119,-0.025,0.207,-0.009,0.127,0.012,0.139,0.116,0.021
Chronic_kidney_disease,0.168,0.332,0.136,-0.114,0.064,-0.111,0.057,-0.146,0.083,0.184,-0.297,0.137,0.238,-0.051,0.053,0.202,-0.174
Osteoarthritis,0.191,0.253,-0.102,0.219,0.019,0.085,0.06,0.044,0.047,0.092,0.073,0.058,-0.018,-0.005,0.207,-0.006,0.028
Obesity,0.184,0.212,-0.154,0.132,0.318,-0.124,0.025,-0.048,0.132,0.037,-0.038,0.188,-0.093,0.074,-0.005,-0.029,0.098
Sexual_disorders,0.081,0.202,-0.075,0.326,0.082,0.016,0.132,-0.007,0.232,-0.189,-0.056,0.195,-0.298,0.153,0.04,0.038,0.117
Hypertension,0.216,0.189,0.101,0.147,0.177,-0.085,0.125,0.141,0.168,0.265,-0.05,-0.01,0.107,-0.03,0.137,0.055,0.039
Coagulation_and_hemorrhagic_disorders,0.328,0.178,0.06,0.042,0.045,0.003,0.058,0.056,0.126,-0.057,-0.022,0.144,0.277,0.093,-0.186,-0.634,-0.048
Anxiety_disorders,0.317,0.166,0.126,0.288,-0.163,-0.007,-0.264,0.139,0.164,0.099,0.064,0.045,-0.143,0.112,-0.015,0.072,0.092
