"",ML9,ML10,ML1,ML8,ML4,ML6,ML5,ML7,ML2,ML3
Urinary_incontinence,-0.073,0.519,0.045,0.002,0.06,0.007,-0.033,0.302,0.103,0.068
Chronic_kidney_disease,0.106,0.466,0.066,0.174,-0.036,-0.086,0.123,0.114,-0.291,-0.159
Congestive_heart_failure__nonhypertensive,-0.179,0.446,0.501,0.159,0.011,-0.175,-0.056,-0.059,0.005,0.012
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.08,0.423,0.053,-0.125,-0.082,0.003,0.208,0.093,0.16,0.028
Chronic_ulcer_of_skin,-0.167,0.411,0.139,-0.041,-0.038,-0.005,0.115,0.212,-0.011,0.047
Conduction_disorders,0.022,0.399,-0.185,0.349,-0.178,0.176,-0.007,-0.209,0.141,0.139
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.157,0.39,0.063,-0.107,0.025,0.094,-0.123,0.031,0.183,0.016
Transient_cerebral_ischemia,0.024,0.375,-0.015,0.048,0.117,-0.023,-0.168,0.423,0.095,0.014
Hypertension,0.256,0.356,0.064,0.228,0.177,0.021,0.155,0.052,-0.043,0.054
Gout,0.227,0.328,0.158,0.093,-0.048,-0.032,-0.213,-0.099,-0.243,0.061
Cataract,0.031,0.299,0.141,0.292,0.221,-0.073,0.067,-0.107,0.009,0.004
Cardiac_dysrhythmias,-0.071,0.295,0.511,-0.072,0.169,0.185,0.092,0.003,-0.053,0.168
Neuropathy_and_other_nervous_system_disorders,0.167,0.268,0.056,-0.183,-0.089,0.296,0.221,-0.264,-0.185,0.06
Osteoarthritis,0.328,0.255,0.085,0.022,0.039,0.051,0.029,-0.147,0.059,0.04
Myodesopsia_and_other_eye_disorders,0.134,0.234,-0.359,-0.134,0.064,0.092,0.071,-0.113,-0.06,0.004
Ischemic_heart_disease,0.059,0.226,0.086,-0.082,0.093,0.027,0.246,0.163,-0.021,0.003
Headache__including_migraine,0.283,0.216,-0.155,-0.097,0.202,-0.054,0.221,0.154,0.124,-0.106
Other_non-traumatic_joint_disorders,0.274,0.186,0.044,0.231,-0.074,-0.046,-0.117,-0.17,0.084,0.118
Depression_and_Mood_disorders,0.291,0.179,-0.064,-0.002,0.162,0.144,-0.122,0.084,0.223,0.114
Hyperplasia_of_prostate,0.165,0.171,0.075,0.065,0.089,0.179,0.077,0.074,0.114,0.02
Diverticulosis_and_diverticulitis,0.445,0.159,0.045,-0.258,-0.144,0.288,-0.259,0.074,-0.017,-0.069
Glaucoma,0.08,0.134,0.013,0.013,0.225,0.168,0.178,0.029,-0.044,0.011
Disorders_of_lipid_metabolism,0.395,0.126,-0.042,0.298,-0.024,0.183,0.061,-0.073,-0.126,0.1
Diabetes,0.098,0.123,0.014,0.433,0.338,0.07,0.209,0.089,-0.131,0.017
Anxiety_disorders,0.36,0.105,0.04,-0.308,0.116,0.15,0.083,0.111,0.125,0.101
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.248,0.093,-0.061,0.009,0.17,0.037,0.212,-0.006,0.097,0.02
Vision_defects,0.319,0.077,0.107,-0.124,0.14,-0.072,-0.031,0.153,0.028,-0.005
Obesity,0.347,0.07,0.155,0.121,0.016,0.039,0.135,-0.073,-0.063,0.08
Other_male_genital_disorders,0.302,0.068,-0.477,0.144,0.313,0.161,0.118,-0.026,-0.067,-0.031
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.358,0.049,0.131,0.056,0.078,0.016,-0.121,-0.071,0.235,0.141
Psoriasis_and_other_inflammatory,0.57,0.044,0.043,0.158,-0.234,-0.243,0.103,0.073,0.067,-0.21
Asthma,0.003,0.013,0.001,0.08,0.006,0.036,0.07,-0.035,0.978,-0.015
Acute_cerebrovascular_disease,0.016,0.002,0.038,0.043,-0.055,0.057,0.029,0.965,-0.053,0.05
Allergic_rhinitis,0.435,-0.007,0.114,-0.241,0.159,-0.077,-0.01,-0.13,0.311,-0.104
Hepatic_steatosis_and_other_liver_diseases,0.173,-0.016,0.13,0.104,-0.025,0.328,0.051,-0.125,-0.156,-0.076
Peripheral_and_visceral_atherosclerosis,-0.03,-0.021,0.038,-0.038,-0.051,-0.009,0.985,0.01,0.065,0.042
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.01,-0.021,0.032,0.98,-0.029,0.031,-0.058,0.061,0.09,0.008
Obstructive_Sleep_apnea,0.403,-0.027,0.028,0.053,0.05,0.013,-0.076,0.194,0.006,0.061
Inflammatory_conditions_of_male_genital_organs,-0.04,-0.027,0.022,-0.026,0.999,-0.017,-0.056,-0.039,0.024,-0.005
Neoplasms,0.009,-0.031,-0.012,-0.003,-0.018,-0.072,0.026,0.039,-0.009,0.993
Other_nutritional__endocrine__and_metabolic_disorders,-0.059,-0.04,0.032,0.038,-0.006,1.001,-0.01,0.054,0.045,-0.07
Coagulation_and_hemorrhagic_disorders,0.102,-0.045,0.97,0.024,0.032,0.062,0.057,0.056,-0.003,-0.026
Thyroid_disorders,0.211,-0.078,0.189,0.136,0.186,0.091,0.06,-0.138,-0.087,0.054
Sexual_disorders,0.473,-0.153,0.018,0.04,-0.007,0.147,0.185,0.024,-0.081,0.092
Esophageal_disorders,0.546,-0.157,0.077,0.122,0.153,0.017,-0.157,-0.032,-0.007,0.069
