"",ML4,ML3,ML1,ML2
Cardiac_dysrhythmias,-0.047,0.836,0.065,0.048
Congestive_heart_failure__nonhypertensive,0.016,0.694,-0.064,0.027
Coagulation_and_hemorrhagic_disorders,-0.059,0.674,0.036,0.084
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.041,0.468,0.058,-0.083
Urinary_incontinence,0.178,0.399,0.077,0.063
Chronic_ulcer_of_skin,0.161,0.379,-0.155,-0.24
Transient_cerebral_ischemia,0.135,0.355,-0.195,-0.193
Chronic_kidney_disease,0.288,0.352,-0.232,-0.109
Cataract,0.183,0.345,-0.03,-0.068
Gout,0.186,0.341,0.155,-0.032
Ischemic_heart_disease,0.211,0.34,0.025,-0.126
Glaucoma,0.096,0.34,-0.112,0.251
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.18,0.317,-0.192,-0.051
Hypertension,0.522,0.307,0.088,0
Peripheral_and_visceral_atherosclerosis,0.145,0.277,0.19,-0.009
Hyperplasia_of_prostate,0.183,0.26,0.106,0.057
Neoplasms,0.019,0.237,-0.197,0.193
Acute_cerebrovascular_disease,0.022,0.224,-0.055,-0.055
Osteoporosis,0.231,0.219,-0.114,0.046
Osteoarthritis,0.496,0.209,-0.008,-0.074
Obstructive_Sleep_apnea,0.384,0.205,0.282,0.15
Diabetes,0.37,0.2,0.073,-0.101
Obesity,0.399,0.172,0.31,-0.061
Diverticulosis_and_diverticulitis,0.339,0.17,0.243,-0.254
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.325,0.118,-0.143,-0.142
Thyroid_disorders,0.268,0.105,-0.098,-0.07
Esophageal_disorders,0.039,0.041,0.013,0.991
Depression_and_Mood_disorders,0.531,0.039,-0.099,0.028
Psoriasis_and_other_inflammatory,0.296,0.037,0.011,0.08
Disorders_of_lipid_metabolism,0.617,0.024,-0.016,0.109
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.568,0.024,-0.153,0.074
Headache__including_migraine,0.484,0.022,-0.152,0.096
Hepatic_steatosis_and_other_liver_diseases,-0.037,0.016,1,0.023
Vision_defects,0.391,-0.015,0.07,-0.266
Alcohol-related_disorders,0.178,-0.024,0.434,-0.167
Anxiety_disorders,0.431,-0.048,-0.062,0.25
Neuropathy_and_other_nervous_system_disorders,0.323,-0.078,0.317,0.09
Allergic_rhinitis,0.47,-0.103,0.117,0.122
Inflammatory_conditions_of_male_genital_organs,0.406,-0.174,0.205,-0.135
Sexual_disorders,0.497,-0.25,0.016,0.038
Other_male_genital_disorders,0.371,-0.268,0.127,0.265
