"",ML4,ML3,ML2,ML1
Congestive_heart_failure__nonhypertensive,-0.153,0.73,0.137,-0.069
Coagulation_and_hemorrhagic_disorders,-0.036,0.718,0.011,0.07
Cardiac_dysrhythmias,0.072,0.659,-0.074,0.139
Chronic_ulcer_of_skin,-0.048,0.538,-0.033,0.034
Urinary_incontinence,0.172,0.459,0.043,-0.093
Chronic_kidney_disease,0.159,0.409,0.131,-0.074
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.31,0.391,-0.118,-0.104
Ischemic_heart_disease,0.278,0.377,-0.134,-0.186
Acute_cerebrovascular_disease,-0.103,0.373,0.121,0.098
Hypertension,0.387,0.326,0.235,0.1
Transient_cerebral_ischemia,0.114,0.308,0.125,0.023
Gout,0.074,0.257,0.123,0.135
Cataract,0.131,0.243,0.303,0.181
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.218,0.24,-0.012,0.242
Peripheral_and_visceral_atherosclerosis,0.319,0.221,-0.177,-0.305
Diabetes,0.295,0.218,0.374,-0.052
Obesity,0.313,0.19,0.11,0.054
Neoplasms,0.107,0.188,0.014,-0.193
Neuropathy_and_other_nervous_system_disorders,0.335,0.167,-0.213,0.054
Hyperplasia_of_prostate,0.368,0.142,0.093,0.047
Osteoarthritis,0.356,0.129,0.067,0.194
Thyroid_disorders,0.22,0.105,0.103,0.056
Glaucoma,0.341,0.105,-0.011,0.005
Vision_defects,0.381,0.105,-0.11,-0.06
Headache__including_migraine,0.448,0.092,-0.091,0.025
Anxiety_disorders,0.442,0.087,-0.242,0.216
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.392,0.071,0.102,-0.008
Obstructive_Sleep_apnea,0.268,0.062,0.1,0.101
Depression_and_Mood_disorders,0.354,0.049,0.094,0.218
Disorders_of_lipid_metabolism,0.424,0.035,0.305,0.072
Psoriasis_and_other_inflammatory,0.141,0.034,0.224,0.277
Inflammatory_conditions_of_male_genital_organs,0.42,0.034,-0.112,-0.166
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.025,0.023,0.993,-0.05
Diverticulosis_and_diverticulitis,-0.003,0.018,-0.047,0.993
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.414,0.017,0.012,0.074
Hepatic_steatosis_and_other_liver_diseases,0.226,0.001,0.091,0.105
Sexual_disorders,0.317,-0.003,0.054,0.217
Other_non-traumatic_joint_disorders,0.16,-0.005,0.306,0.18
Other_nutritional__endocrine__and_metabolic_disorders,0.223,-0.026,0.096,0.301
Conduction_disorders,0.233,-0.036,0.408,0.06
Allergic_rhinitis,0.448,-0.071,-0.2,0.053
Asthma,0.247,-0.099,0.191,-0.059
Esophageal_disorders,0.467,-0.171,0.158,0.085
Myodesopsia_and_other_eye_disorders,0.283,-0.205,-0.113,0.119
Other_male_genital_disorders,0.588,-0.34,0.123,-0.002
