"",ML6,ML5,ML3,ML2,ML1,ML4
Cardiac_dysrhythmias,-0.053,0.781,0.097,-0.077,0.061,0.218
Congestive_heart_failure__nonhypertensive,-0.009,0.763,-0.069,-0.013,0.009,-0.077
Coagulation_and_hemorrhagic_disorders,-0.122,0.607,0.073,0.11,0.109,0.19
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.001,0.487,0.064,0.079,-0.086,-0.023
Chronic_kidney_disease,0.286,0.475,-0.247,-0.034,-0.138,-0.159
Gout,0.131,0.398,0.155,0.121,-0.04,-0.105
Glaucoma,0.158,0.392,-0.118,-0.204,0.23,-0.002
Hypertension,0.455,0.356,0.113,0.094,0.01,0.028
Chronic_ulcer_of_skin,0.134,0.35,-0.134,0.064,-0.229,0.088
Ischemic_heart_disease,0.168,0.322,0.052,0.08,-0.11,0.106
Urinary_incontinence,0.139,0.317,0.114,0.097,0.088,0.175
Cataract,0.142,0.316,-0.012,0.138,-0.058,0.04
Peripheral_and_visceral_atherosclerosis,0.119,0.283,0.197,0.067,-0.009,-0.013
Diabetes,0.39,0.273,0.072,-0.112,-0.116,-0.042
Osteoporosis,0.161,0.266,-0.123,0.246,0.034,-0.203
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.17,0.264,-0.164,0.015,-0.034,0.155
Hyperplasia_of_prostate,0.103,0.236,0.129,0.215,0.075,0.029
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.315,0.214,-0.165,0.076,-0.17,-0.231
Neoplasms,-0.008,0.21,-0.188,0.107,0.198,0.011
Osteoarthritis,0.423,0.192,0.023,0.201,-0.054,0.05
Diverticulosis_and_diverticulitis,0.284,0.179,0.258,0.113,-0.244,-0.002
Obesity,0.292,0.177,0.337,0.231,-0.04,0.01
Obstructive_Sleep_apnea,0.295,0.176,0.31,0.198,0.171,0.031
Psoriasis_and_other_inflammatory,0.251,0.135,-0.01,0.178,0.057,-0.268
Acute_cerebrovascular_disease,0.042,0.135,-0.014,-0.137,-0.025,0.322
Headache__including_migraine,0.444,0.08,-0.142,0.073,0.095,-0.055
Alcohol-related_disorders,0.188,0.063,0.406,0.017,-0.196,-0.232
Transient_cerebral_ischemia,0.064,0.057,-0.055,0.051,-0.069,0.949
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.608,0.043,-0.127,-0.147,0.081,0.142
Esophageal_disorders,0.041,0.036,0.011,0.007,0.985,-0.059
Depression_and_Mood_disorders,0.535,0.034,-0.075,-0.006,0.038,0.086
Disorders_of_lipid_metabolism,0.548,0.026,0.02,0.145,0.133,0.084
Hepatic_steatosis_and_other_liver_diseases,-0.037,0.01,0.995,-0.042,0.021,-0.04
Vision_defects,0.32,-0.031,0.099,0.181,-0.242,0.071
Thyroid_disorders,-0.036,-0.038,-0.036,1.005,0.005,0.031
Neuropathy_and_other_nervous_system_disorders,0.364,-0.071,0.316,-0.073,0.082,-0.026
Allergic_rhinitis,0.461,-0.073,0.133,-0.024,0.129,0.032
Anxiety_disorders,0.403,-0.093,-0.024,0.053,0.279,0.174
Inflammatory_conditions_of_male_genital_organs,0.432,-0.187,0.226,-0.08,-0.121,0.124
Other_male_genital_disorders,0.358,-0.202,0.119,0.035,0.256,-0.139
Sexual_disorders,0.504,-0.215,0.033,-0.05,0.046,0.06
