"",ML10,ML11,ML2,ML3,ML8,ML7,ML4,ML6,ML1,ML5,ML9
Cardiac_dysrhythmias,-0.135,0.585,0.298,0.054,0.219,0.12,0.13,0.074,-0.027,-0.213,-0.052
Other_non-traumatic_joint_disorders,0.111,0.438,0,-0.137,0.043,-0.131,0.245,-0.043,-0.029,0.074,0.245
Coagulation_and_hemorrhagic_disorders,-0.085,0.435,0.196,-0.033,-0.034,0.098,0.007,0.285,-0.001,-0.12,0.219
Gout,0.107,0.413,-0.026,-0.039,0.086,0.176,-0.067,0.245,0.006,-0.163,0.085
Cataract,-0.06,0.404,0.131,0.208,0.113,-0.082,-0.103,-0.243,0.31,0.091,0.024
Osteoarthritis,0.318,0.384,-0.022,0.005,0.115,-0.016,-0.019,0.083,0.186,-0.09,0.063
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.107,0.37,0.074,0.128,0.082,-0.195,-0.128,-0.113,0.093,0.252,-0.333
Psoriasis_and_other_inflammatory,0.198,0.368,-0.031,0.243,-0.365,0.049,-0.292,0.052,0.09,-0.038,0.006
Transient_cerebral_ischemia,0.184,0.35,-0.101,-0.086,0.183,-0.17,0.306,-0.063,-0.081,-0.11,0.168
Vision_defects,0.323,0.258,-0.037,-0.202,0.182,0.054,0.045,0.151,-0.183,0.105,-0.311
Thyroid_disorders,0.188,0.252,-0.18,0.015,0.088,-0.058,-0.11,0.294,-0.203,0.036,0.177
Chronic_ulcer_of_skin,-0.094,0.219,0.143,0.095,0.255,-0.18,-0.045,0.151,0.068,0.094,0.18
Diverticulosis_and_diverticulitis,0.197,0.201,0.117,-0.028,-0.019,0.196,-0.039,0.126,0.033,0.157,0.113
Hypertension,0.378,0.194,0.226,0.412,-0.06,0.193,0.115,0.042,-0.155,0.072,0.067
Ischemic_heart_disease,0.106,0.181,0.435,-0.031,-0.256,-0.008,0.289,-0.014,0.267,0.104,0.047
Inflammatory_conditions_of_male_genital_organs,0.313,0.181,-0.102,-0.053,-0.084,0.135,-0.262,-0.074,0.067,0.197,0.064
Hyperplasia_of_prostate,0.058,0.176,0.133,0.153,0.024,0.103,0.057,0.068,-0.009,0.246,0.022
Glaucoma,0.034,0.142,0.281,0.101,-0.125,-0.089,0.244,0.021,0.167,0.099,-0.073
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.029,0.137,0.033,0.056,0.309,-0.177,0.073,0.123,-0.076,0.184,0.115
Obesity,0.355,0.137,0.005,0.255,0.089,0.408,0.039,0.055,-0.208,-0.093,0.099
