"",ML1,ML2
Congestive_heart_failure__nonhypertensive,-0.154,0.762
Coagulation_and_hemorrhagic_disorders,0.019,0.672
Cardiac_dysrhythmias,0.115,0.603
Chronic_ulcer_of_skin,-0.061,0.533
Urinary_incontinence,0.124,0.487
Chronic_kidney_disease,0.154,0.454
Acute_cerebrovascular_disease,-0.051,0.401
Hypertension,0.457,0.385
Ischemic_heart_disease,0.129,0.361
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.219,0.353
Transient_cerebral_ischemia,0.141,0.349
Diabetes,0.321,0.32
Cataract,0.26,0.297
Gout,0.173,0.288
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.17,0.258
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.314,0.221
Obesity,0.346,0.219
Neoplasms,0.009,0.204
Peripheral_and_visceral_atherosclerosis,0.112,0.178
Hyperplasia_of_prostate,0.4,0.145
Osteoarthritis,0.457,0.121
Disorders_of_lipid_metabolism,0.51,0.105
Thyroid_disorders,0.271,0.101
Glaucoma,0.336,0.092
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.404,0.085
Neuropathy_and_other_nervous_system_disorders,0.315,0.085
Conduction_disorders,0.326,0.083
Obstructive_Sleep_apnea,0.334,0.076
Psoriasis_and_other_inflammatory,0.31,0.073
Vision_defects,0.318,0.066
Headache__including_migraine,0.412,0.062
Other_non-traumatic_joint_disorders,0.325,0.053
Depression_and_Mood_disorders,0.461,0.052
Anxiety_disorders,0.448,0.01
Inflammatory_conditions_of_male_genital_organs,0.306,0
Hepatic_steatosis_and_other_liver_diseases,0.31,-0.004
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.427,-0.006
Sexual_disorders,0.405,-0.017
Diverticulosis_and_diverticulitis,0.403,-0.039
Other_nutritional__endocrine__and_metabolic_disorders,0.372,-0.041
Asthma,0.245,-0.065
Allergic_rhinitis,0.427,-0.146
Esophageal_disorders,0.541,-0.163
Myodesopsia_and_other_eye_disorders,0.308,-0.244
Other_male_genital_disorders,0.576,-0.299
