"",ML17,ML11,ML15,ML16,ML7,ML18,ML3,ML8,ML13,ML19,ML6,ML10,ML5,ML9,ML12,ML4,ML2,ML1,ML14
Congestive_heart_failure__nonhypertensive,-0.011,0.903,0.084,-0.123,0.001,-0.016,-0.123,-0.004,0.136,-0.042,0.086,0.01,0.052,0.064,-0.054,0.001,0.012,0.072,-0.056
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.029,0.504,0.141,-0.122,0.088,-0.056,0.154,0.151,-0.138,-0.132,0.057,-0.06,0.26,-0.01,-0.127,-0.207,-0.144,-0.093,0.137
Ischemic_heart_disease,0.015,0.388,-0.01,0.288,0.084,0.005,0.021,-0.065,0.067,0.074,0.206,-0.096,-0.009,0.081,0.253,0.169,-0.064,-0.25,-0.037
Headache__including_migraine,0.339,0.288,-0.07,0.191,0.045,0.207,-0.031,0.031,-0.172,0.081,-0.073,0.039,-0.186,0.173,0.109,-0.005,0.167,-0.037,-0.185
Other_circulatory_disease,0.102,0.284,-0.045,0.236,-0.005,0.05,0.15,-0.01,-0.012,0.16,-0.159,0.216,0.152,-0.009,0.223,0.279,-0.313,-0.138,0.026
Diabetes,0.296,0.272,-0.012,-0.019,-0.108,-0.021,0.256,0.183,0.019,0.261,-0.104,-0.063,-0.073,-0.102,0.163,0.002,-0.011,0.213,0.144
Glaucoma,-0.144,0.251,0.101,0.139,0.235,0.142,0.097,0.024,-0.105,0.095,0.147,0.217,0.012,-0.156,0.197,-0.126,0.19,-0.032,0.09
Chronic_kidney_disease,0.152,0.228,0.081,0.078,0.01,0.263,0.033,0.149,0.183,0.169,0.188,-0.121,-0.17,-0.136,-0.214,0.129,0.096,0.215,-0.223
Chronic_ulcer_of_skin,0.054,0.187,0.195,0.14,-0.092,0.166,0.045,-0.26,0.191,0.188,-0.208,-0.237,0.11,0.016,0.073,0.092,0.108,0.347,0.082
Depression_and_Mood_disorders,0.058,0.167,-0.051,0.205,0.069,0.215,0.115,0.171,-0.091,-0.036,0.057,0.04,-0.111,0.215,0.152,0.049,0.015,0.225,0.153
Hypertension,0.451,0.165,0.21,-0.039,0.119,0.021,0.138,0.217,0.017,0.023,0.212,-0.016,-0.04,0.047,0.021,0.008,0.226,-0.08,-0.141
Cardiac_dysrhythmias,-0.048,0.143,0.829,-0.03,0.176,-0.079,-0.168,-0.09,-0.053,0.031,0.094,0.052,0.032,-0.064,0.051,0.036,0.002,0.135,0.105
Diverticulosis_and_diverticulitis,0.295,0.122,0.182,0.204,0.21,-0.199,0.233,0.02,0.097,-0.215,-0.154,-0.12,0.106,-0.081,-0.216,0.136,-0.047,-0.273,-0.01
Cataract,-0.112,0.105,0.23,0.41,0.13,0.106,0.12,0.116,0.061,0.014,0.089,-0.014,-0.232,-0.162,-0.231,0.147,-0.039,0.042,-0.018
Heart_valve_disorders,-0.02,0.097,0.022,0.073,0.124,0.021,0.053,0.053,0.908,-0.042,0.051,0,-0.07,0.048,0.015,-0.139,0.01,0.082,0.011
Hyperplasia_of_prostate,0.014,0.087,0.127,0.031,0.229,-0.064,0.296,0.008,0.016,0.102,0.007,0.076,0.003,0.027,-0.003,0.084,0.149,0.014,-0.192
Coagulation_and_hemorrhagic_disorders,0.058,0.086,0.553,-0.029,-0.083,-0.114,-0.03,-0.071,0.263,0.194,-0.054,0.052,0.215,0.126,-0.002,0.044,-0.017,-0.093,-0.141
Anxiety_disorders,0.064,0.07,0.019,0.182,0.032,0.084,0.115,0.216,-0.119,0.062,0.024,0.344,-0.108,-0.046,-0.016,0.204,-0.142,0.025,0.152
Peripheral_and_visceral_atherosclerosis,0.02,0.069,0.022,0.024,-0.12,-0.02,0.07,-0.063,0.044,0.021,0.941,0.033,0.013,0.005,0.085,0.07,-0.076,-0.024,0.082
Osteoporosis,-0.017,0.066,0.032,0.116,-0.026,0.111,0.058,0.029,-0.062,0.018,0.01,-0.004,0.919,-0.003,0.041,0.047,0.101,0.011,-0.045
Obesity,0.787,0.06,-0.019,-0.109,0,-0.225,-0.09,-0.026,0.029,0.171,0.06,-0.035,0.033,0.027,0.098,-0.006,0.024,0.119,0.127
Obstructive_Sleep_apnea,0.475,0.049,0.04,0.119,0.225,-0.185,-0.06,0.181,-0.154,-0.282,-0.018,0.146,0.075,0.085,-0.104,0.022,-0.016,0.236,-0.042
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.125,0.048,0.249,0.164,0.082,0.246,0.273,-0.086,-0.356,-0.087,-0.065,-0.09,-0.121,0.071,-0.171,0.06,-0.017,-0.021,0.065
Urinary_incontinence,0.078,0.047,0.087,0.09,0.043,-0.035,0.168,0.008,0.137,-0.216,-0.012,0.116,0.018,0.005,-0.058,0.145,-0.144,0.777,-0.025
Allergic_rhinitis,0.03,0.037,-0.019,0.053,0.018,0.016,0.031,0.04,0.03,0.018,0.003,0.058,-0.012,0.943,-0.086,0.057,0.013,-0.009,-0.001
Neoplasms,-0.107,0.034,0.273,0.002,-0.088,0.178,0.067,-0.006,-0.316,-0.103,0.078,0.149,0.119,0.121,-0.002,-0.007,-0.025,0.083,-0.214
Other_non-traumatic_joint_disorders,-0.059,0.016,0.089,-0.038,0.908,0.087,0.086,-0.002,0.125,0.065,-0.176,0.018,-0.062,0.037,0.159,0.029,-0.04,-0.006,0.026
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.029,0.014,0.171,-0.134,-0.018,0.159,0.269,0.156,0.085,0.129,-0.042,-0.014,0.188,0.087,0.114,-0.104,-0.331,0.277,0.06
Hepatic_steatosis_and_other_liver_diseases,0.135,0.012,0.048,0.157,-0.073,-0.923,0.121,-0.002,-0.007,-0.014,0.041,0.053,-0.105,0.009,-0.032,0.04,0.049,0.001,0.039
Osteoarthritis,0.378,0.008,0.145,0.237,0.175,0.138,-0.103,-0.105,-0.01,0.022,0.005,-0.058,0.055,0.168,0.001,-0.024,-0.007,0.079,0.186
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.079,0.006,0.168,0.218,-0.062,0.191,0.151,0.115,-0.007,0.049,0.013,0.083,0.082,0.193,-0.147,0.043,0.064,-0.005,0.069
Sexual_disorders,-0.027,0.002,-0.072,0.007,-0.024,0.004,-0.108,0.986,0.06,0.004,-0.063,0.012,0.024,0.037,0.016,0.059,0.023,-0.01,0.077
Other_male_genital_disorders,0.045,-0.004,-0.015,-0.025,-0.052,-0.045,0.058,0.06,0.016,-0.091,-0.105,0.165,0.138,0.043,0.042,0.141,0.865,-0.09,0.16
Esophageal_disorders,-0.025,-0.014,0.041,-0.002,0.016,-0.037,-0.027,-0.003,0.009,0.057,0.032,0.958,0.001,0.065,-0.022,-0.089,0.111,0.061,-0.047
Gout,0.255,-0.022,-0.05,0.042,0.558,-0.091,-0.204,-0.049,0.002,0.097,0.202,-0.031,0.22,-0.004,-0.177,0.014,-0.01,0.1,-0.071
Inflammatory_conditions_of_male_genital_organs,0.041,-0.024,0.045,0.043,0.02,0.003,0.033,0.08,0.007,0.037,0.083,-0.041,-0.04,0.008,-0.096,0.016,0.11,-0.006,0.936
Vision_defects,-0.071,-0.032,0.025,-0.09,0.019,-0.047,-0.002,0.062,-0.128,0.052,0.075,-0.094,0.041,0.077,0.017,0.933,0.109,0.079,0.024
Myodesopsia_and_other_eye_disorders,-0.003,-0.04,0.077,0.258,0.07,0.187,0.081,-0.156,-0.001,-0.109,0.177,-0.221,0.142,0.208,-0.185,-0.012,0.296,0.04,0.022
Alcohol-related_disorders,-0.181,-0.043,0.115,0.02,0.147,-0.415,0.089,0.346,-0.205,0.259,0.156,-0.262,0.039,0.178,0.096,-0.129,0.095,0.121,-0.109
Psoriasis_and_other_inflammatory,0.079,-0.049,0.037,0.043,0.092,-0.002,-0.026,0.032,-0.031,0.917,0.042,0.076,0.027,0.04,-0.138,0.069,-0.093,-0.113,0.044
Acute_cerebrovascular_disease,0.083,-0.057,0.061,0.084,0.141,0.02,0.05,0.041,0.036,-0.156,0.124,-0.023,0.055,-0.151,0.869,0.028,0.025,-0.026,-0.14
Disorders_of_lipid_metabolism,0.501,-0.067,0.104,-0.026,-0.13,0.125,0.16,0.078,0.095,0.077,0.183,0.151,-0.027,0.169,0.104,0.017,0.03,-0.081,0.068
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.321,-0.079,0.155,0.234,-0.134,0.273,0.095,0.228,-0.116,0.171,0.088,0.06,0.075,-0.256,0.029,-0.172,0.135,0.089,-0.155
Irritable_bowel_and_other_GI_disorders,-0.066,-0.097,-0.146,-0.043,0.039,-0.125,0.915,-0.131,0.039,-0.024,0.097,-0.031,0.072,0.048,0.036,0.014,0.043,0.097,0.057
Neuropathy_and_other_nervous_system_disorders,-0.073,-0.124,-0.05,0.925,-0.031,-0.167,-0.04,0.023,0.059,0.037,0.037,0.029,0.139,0.107,0.084,-0.094,-0.007,0.057,0.052
Thyroid_disorders,0.293,-0.135,-0.133,-0.106,0.233,0.125,0.031,0.005,0.185,0.058,0.128,0.011,0.267,-0.091,-0.222,0.219,-0.034,0.023,-0.078
Transient_cerebral_ischemia,0.181,-0.137,0.435,-0.029,-0.081,0.199,-0.052,0.085,0.209,-0.217,-0.013,-0.095,-0.057,0.09,0.238,0.18,-0.228,-0.037,0.103
