"",ML8,ML9,ML7,ML6,ML3,ML1,ML5,ML2,ML4
Disorders_of_lipid_metabolism,-0.021,0.606,0.021,0.005,0.063,0.007,0.119,0.135,0.174
Hypertension,0.321,0.548,0.127,-0.056,0.001,0.07,0.069,0.075,0.021
Diabetes,0.112,0.509,0.014,-0.059,0.322,0.091,-0.034,-0.137,-0.037
Sexual_disorders,-0.164,0.459,0.25,0.035,-0.277,-0.08,0.082,-0.078,-0.008
Inflammatory_conditions_of_male_genital_organs,-0.226,0.449,-0.053,0.053,0.117,0.229,0.139,-0.08,-0.058
Psoriasis_and_other_inflammatory,0.138,0.423,-0.289,0.092,0.06,0.027,-0.22,0.217,0.109
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.052,0.404,0.074,0.282,-0.004,-0.207,0.177,-0.135,0.078
Obesity,0.096,0.401,0.292,-0.145,-0.031,0.271,0.025,0.177,-0.047
Vision_defects,-0.054,0.346,0.037,-0.137,0.116,0.12,0.083,0.162,-0.185
Other_male_genital_disorders,-0.189,0.335,0.01,-0.014,0.086,0.131,-0.14,0.022,0.303
Chronic_kidney_disease,0.397,0.32,0.113,-0.008,0.024,-0.293,-0.122,-0.046,-0.151
Allergic_rhinitis,-0.103,0.317,0.118,0.196,0.077,0.073,0.042,-0.034,0.146
Headache__including_migraine,0.022,0.31,0.204,0.081,0.114,-0.2,-0.052,0.041,0.101
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.191,0.286,-0.081,0.12,0.051,-0.178,-0.184,0.098,-0.147
Depression_and_Mood_disorders,-0.006,0.272,0.314,0.224,0.044,-0.193,0.09,-0.038,0.014
Anxiety_disorders,-0.114,0.267,0.221,0.134,-0.068,-0.108,0.183,0.029,0.25
Osteoarthritis,0.106,0.267,0.163,0.219,0.156,-0.051,0.07,0.187,-0.042
Alcohol-related_disorders,0.195,0.234,-0.138,0.221,-0.207,0.348,-0.183,0.062,-0.209
Peripheral_and_visceral_atherosclerosis,0.356,0.221,-0.196,0.15,-0.108,0.186,0.044,0.116,-0.007
Glaucoma,0.488,0.119,-0.071,0.225,-0.194,-0.174,0.048,-0.159,0.179
Gout,0.367,0.114,0.221,0.085,-0.05,0.062,-0.086,0.102,-0.083
Ischemic_heart_disease,0.32,0.105,-0.017,0.306,0.028,-0.019,0.134,0.104,-0.128
Diverticulosis_and_diverticulitis,0.154,0.094,0.411,0.128,-0.091,0.111,0.008,0.073,-0.301
Hyperplasia_of_prostate,0.311,0.081,-0.015,0.121,-0.176,0.086,0.079,0.243,0.045
Congestive_heart_failure__nonhypertensive,0.667,0.069,0.138,-0.228,0.193,-0.042,-0.065,-0.038,0.028
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.201,0.051,0.1,0.05,0.157,-0.178,0.16,0.005,-0.023
Transient_cerebral_ischemia,0.04,0.033,-0.024,-0.018,0.021,-0.033,0.965,0.064,-0.058
Chronic_ulcer_of_skin,0.022,0.032,-0.011,0.068,0.961,-0.04,0.022,0.021,-0.068
Esophageal_disorders,0.049,0.023,0.034,0.015,-0.062,0.024,-0.055,0.007,0.972
Cataract,0.229,0.022,0.029,0.287,0.209,-0.06,0.051,0.145,-0.049
Hepatic_steatosis_and_other_liver_diseases,0.025,0.01,0.089,0.098,-0.029,0.944,-0.042,-0.046,0.031
Obstructive_Sleep_apnea,0.02,-0.008,0.952,0.038,-0.001,0.073,-0.027,0.059,0.061
Thyroid_disorders,-0.052,-0.016,0.036,-0.028,0.007,-0.035,0.048,0.99,0.006
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.495,-0.02,0.191,-0.081,-0.066,0.021,-0.002,0.066,-0.12
Cardiac_dysrhythmias,0.694,-0.023,0.059,-0.059,0.198,0.116,0.238,-0.076,0.081
Osteoporosis,0.245,-0.034,0.07,0.34,0.137,-0.196,-0.198,0.252,0.017
Neuropathy_and_other_nervous_system_disorders,-0.084,-0.037,0.047,0.969,0.062,0.109,-0.018,-0.031,0.029
Acute_cerebrovascular_disease,0.175,-0.057,0.011,0.273,-0.086,-0.086,0.332,-0.115,-0.073
Urinary_incontinence,0.119,-0.068,0.389,0.077,0.344,0.052,0.141,0.035,0.099
Neoplasms,0.208,-0.075,-0.096,0.07,0.103,-0.154,0.025,0.13,0.215
Coagulation_and_hemorrhagic_disorders,0.57,-0.081,-0.02,0.059,0.047,0.07,0.222,0.13,0.099
