"",ML14,ML13,ML5,ML10,ML4,ML11,ML1,ML7,ML2,ML6,ML12,ML8,ML3,ML9
Congestive_heart_failure__nonhypertensive,-0.007,0.933,-0.009,0.035,0.012,0.017,0.156,-0.057,0.09,0.002,-0.054,-0.104,-0.094,-0.016
Ischemic_heart_disease,0.063,0.424,0.094,-0.009,0.009,0.037,-0.183,0.288,-0.234,-0.003,0.193,0.199,0.098,0.005
Coagulation_and_hemorrhagic_disorders,0.055,0.397,0.101,0.011,-0.004,-0.19,0.416,0.064,0.061,0.017,0.068,0.138,0.088,-0.057
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.096,0.291,0.131,0.201,-0.096,0.04,0.08,0.038,-0.124,0.192,0.166,0.028,-0.023,0.013
Chronic_kidney_disease,0.185,0.277,0.108,-0.115,-0.067,0.239,0.175,0.048,0.099,-0.314,0.134,0.167,-0.086,-0.184
Obesity,0.352,0.183,-0.137,-0.097,-0.043,0.053,-0.032,0.238,0.018,-0.045,0.108,0.191,0.077,0.076
Urinary_incontinence,-0.131,0.182,0.416,0.215,0.061,0.281,0.043,0.097,-0.061,0.096,-0.062,0.064,-0.066,0.035
Osteoarthritis,0.321,0.172,-0.086,0.156,0.072,0.164,0.062,-0.039,0.031,0.064,0.016,0.059,0.004,0.004
Chronic_ulcer_of_skin,-0.111,0.162,0.275,0.192,-0.083,-0.024,0.182,0.232,-0.088,0.041,0.055,-0.131,-0.063,0.05
Cardiac_dysrhythmias,-0.052,0.148,-0.003,-0.024,0.076,-0.02,0.895,0.027,-0.028,-0.01,0.069,0.115,0.109,0.121
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.259,0.144,-0.099,0.109,0.039,-0.081,-0.127,0.124,0.066,0.268,-0.155,0.268,0.044,0.143
Anxiety_disorders,0.443,0.132,0.145,0.023,0.172,0.123,-0.086,-0.124,-0.288,0.095,0.102,0.039,0.139,0.075
Gout,0.196,0.131,-0.03,0.198,-0.064,0.124,0.124,0.234,0.022,-0.199,-0.27,-0.036,-0.107,0.04
Hypertension,0.332,0.124,0.114,-0.041,0.19,0.326,0.155,0.1,0.13,-0.063,0.156,-0.009,-0.034,0.014
Sexual_disorders,0.498,0.124,-0.045,0.057,-0.023,-0.151,-0.192,0.036,0.065,-0.06,0.162,0.164,0.194,0.096
Transient_cerebral_ischemia,-0.063,0.121,0.54,0.216,0.135,0.212,-0.09,0.098,-0.007,0.086,-0.192,0.008,-0.088,-0.013
Depression_and_Mood_disorders,0.273,0.078,0.13,0.209,0.178,0.062,-0.066,-0.001,0.021,0.237,-0.152,0.067,0.097,0.094
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.027,0.077,0.085,-0.054,-0.037,0.096,-0.038,0.114,0.899,0.084,-0.049,-0.019,0.055,0.003
Disorders_of_lipid_metabolism,0.444,0.072,-0.109,-0.02,-0.045,0.08,-0.087,0.145,0.247,-0.11,0.044,0.139,0.194,0.098
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.13,0.044,0.12,0.243,0.027,0.131,0.113,0.095,-0.109,0.214,-0.166,0.016,-0.001,-0.006
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.29,0.044,0.065,0.256,0.228,-0.07,-0.029,-0.148,0.123,0.111,0.203,-0.07,-0.003,0.006
Cataract,0.053,0.029,0.04,0.188,0.276,0.19,0.206,-0.075,0.333,-0.003,0.077,-0.056,-0.163,-0.034
Thyroid_disorders,0.299,0.026,-0.075,0.052,0.237,-0.02,0.137,-0.044,0.167,-0.082,0.07,-0.194,0.058,0.034
Neuropathy_and_other_nervous_system_disorders,-0.04,0.019,-0.084,0.975,-0.057,-0.064,-0.027,0.033,-0.032,-0.084,0.083,0.06,0.113,0.019
Asthma,-0.03,0.012,-0.042,-0.089,0.001,0.038,0.001,-0.022,0.065,0.979,0.076,0.016,0.049,-0.011
Headache__including_migraine,0.276,0.011,0.18,0.119,0.211,0.078,0.001,0,-0.082,0.128,0.199,0.039,-0.102,-0.123
Inflammatory_conditions_of_male_genital_organs,-0.025,0,-0.054,-0.058,0.958,-0.109,0.055,0.14,-0.034,0.029,-0.061,0.045,0.003,-0.003
