"",ML4,ML6,ML5,ML1,ML3,ML2
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.112,0.628,0.004,-0.077,0.125,0.2
Esophageal_disorders,0.166,0.515,-0.11,0.193,-0.191,-0.221
Allergic_rhinitis,0.054,0.452,-0.138,0.175,-0.172,-0.009
Anxiety_disorders,0.047,0.433,0.053,0.068,0.003,0.109
Hyperplasia_of_prostate,0.012,0.415,0.194,0.123,-0.068,0.061
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.141,0.392,0.079,0.089,0.014,-0.13
Osteoarthritis,0.189,0.374,-0.048,0.032,0.176,0.002
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.064,0.364,0.481,0.036,-0.042,-0.125
Depression_and_Mood_disorders,0.19,0.346,0.092,-0.077,0.081,-0.12
Headache__including_migraine,0.16,0.334,0.088,-0.148,0.065,0.182
Other_male_genital_disorders,0.388,0.334,-0.039,-0.437,-0.065,0.03
Glaucoma,0.003,0.332,0.139,0.057,-0.058,0.151
Cataract,-0.045,0.324,0.222,0.109,0.11,0.01
Thyroid_disorders,0.108,0.26,-0.074,0.18,0.028,0.017
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.037,0.247,0.218,-0.058,0.28,0.224
Disorders_of_lipid_metabolism,0.48,0.198,0.049,-0.039,-0.021,-0.021
Sexual_disorders,0.311,0.185,-0.122,0.031,-0.003,0.161
Vision_defects,0.242,0.126,0.141,0.221,-0.267,-0.061
Hypertension,0.535,0.119,0.133,0.012,0.151,0.084
Hepatic_steatosis_and_other_liver_diseases,0.279,0.085,-0.069,0.231,-0.244,-0.006
Cardiac_dysrhythmias,0.069,0.083,0.19,0.429,0.221,0.097
Psoriasis_and_other_inflammatory,0.417,0.058,-0.097,0.078,-0.055,0.04
Coagulation_and_hemorrhagic_disorders,0.039,0.044,0.015,0.931,0.112,0.051
Urinary_incontinence,0.077,0.017,0.728,-0.035,0.092,-0.054
Peripheral_and_visceral_atherosclerosis,0.023,0.016,-0.013,0.046,-0.048,0.994
Congestive_heart_failure__nonhypertensive,0.024,0.002,0.025,0.14,0.934,-0.06
Obstructive_Sleep_apnea,0.494,-0.012,0.055,0.054,-0.081,-0.116
Neoplasms,0.034,-0.015,0.189,-0.065,0.049,0.164
Chronic_ulcer_of_skin,-0.049,-0.03,0.538,0.048,0.127,0.136
Gout,0.4,-0.035,0,0.098,0.157,-0.258
Chronic_kidney_disease,0.385,-0.043,0.155,-0.006,0.273,0.021
Obesity,0.614,-0.05,-0.086,0.097,0.058,0.077
Ischemic_heart_disease,0.367,-0.075,0.048,-0.034,0.297,0.24
Diabetes,0.568,-0.105,0.212,0.023,-0.061,0.093
Acute_cerebrovascular_disease,0.089,-0.184,0.527,0.216,-0.203,0.055
