"",ML15,ML12,ML6,ML5,ML11,ML10,ML13,ML3,ML1,ML14,ML7,ML4,ML9,ML2,ML8
Acute_cerebrovascular_disease,-0.007,0.962,-0.046,-0.074,-0.13,0.055,0.021,-0.123,0.005,0.073,-0.072,0.067,-0.036,0.078,0.06
Transient_cerebral_ischemia,-0.09,0.538,0.163,0.117,0.195,-0.019,-0.098,0.173,0.13,-0.01,0.102,-0.207,0.127,-0.067,-0.013
Urinary_incontinence,-0.03,0.415,0.138,0.048,0.243,-0.114,0.095,0.305,0.075,-0.088,0.092,-0.088,-0.059,-0.049,0.021
Chronic_ulcer_of_skin,-0.228,0.247,0.208,-0.091,0.158,0.071,0.13,-0.064,0.256,-0.064,0.047,0.061,0.04,-0.053,0.059
Vision_defects,0.39,0.223,-0.303,0.103,0.16,-0.142,0.337,0.177,-0.119,-0.092,0.019,-0.076,0.009,-0.146,-0.071
Headache__including_migraine,0.197,0.163,-0.011,0.209,0.138,0.106,0.003,0.091,-0.018,-0.069,0.118,0.221,-0.049,-0.107,-0.126
Ischemic_heart_disease,0.251,0.152,0.374,0.026,0.009,-0.12,-0.092,0.05,0.275,-0.284,0.019,0.157,0.015,0.081,-0.008
Hyperplasia_of_prostate,0.178,0.152,-0.012,0.128,0.049,0.03,0.115,0.185,-0.142,0.11,0.086,0.107,0.073,0.129,-0.018
Obstructive_Sleep_apnea,0.394,0.148,0.018,-0.027,-0.096,0.063,0.029,-0.135,0.22,0.002,0.074,-0.123,0.166,0.028,0.066
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.115,0.138,0.322,-0.127,0.176,-0.074,0.1,-0.012,0.078,-0.145,0.226,0.124,0.17,0,0.01
Chronic_kidney_disease,0.331,0.135,0.24,-0.096,-0.101,-0.118,0.252,0.232,0.057,0.052,-0.284,0.085,0.079,-0.072,-0.195
Anxiety_disorders,0.264,0.135,0.133,0.202,0.026,0.316,-0.117,0.118,-0.14,-0.247,0.084,0.163,-0.007,0.101,0.08
Depression_and_Mood_disorders,0.17,0.123,0.063,0.203,0.218,0.225,-0.082,0.075,-0.022,0.048,0.222,-0.102,-0.049,0.067,0.096
Coagulation_and_hemorrhagic_disorders,0.116,0.11,0.276,0.024,0.068,0.043,0.485,-0.114,0.001,0.053,0,0.08,-0.256,0.061,-0.068
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.037,0.097,0.082,-0.048,-0.064,-0.141,-0.034,0.101,0.132,0.874,0.09,-0.064,-0.018,0.063,0.002
Hypertension,0.242,0.093,0.168,0.17,-0.075,0.154,0.118,0.273,0.128,0.145,-0.049,0.17,0.132,-0.037,0.023
Glaucoma,-0.004,0.091,-0.073,0.265,0.167,0.054,0.039,0.186,-0.002,0.027,-0.072,0.194,-0.078,0.095,-0.02
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.045,0.086,-0.023,0.054,0.283,0.244,0.104,0.186,0.03,-0.076,0.174,-0.106,-0.237,-0.031,-0.008
Other_nutritional__endocrine__and_metabolic_disorders,0.025,0.066,-0.069,0.002,0.125,0.073,0.098,0.047,0.009,0.036,0.066,-0.025,-0.005,0.931,-0.088
Neoplasms,0.038,0.041,-0.032,-0.019,0.015,-0.03,0.075,0.037,0.013,-0.004,-0.008,0.016,-0.004,-0.072,0.979
Esophageal_disorders,0.393,0.039,-0.102,0.203,0.165,0.066,-0.111,-0.002,-0.074,0.207,-0.003,-0.139,0.097,-0.015,0.039
Diverticulosis_and_diverticulitis,-0.029,0.036,-0.026,-0.06,-0.023,0.964,0.066,0.033,0.015,-0.086,-0.026,-0.101,0.04,0.068,-0.05
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.115,0.034,0.057,0.236,0.249,0.174,-0.077,-0.07,-0.152,0.163,0.091,0.252,-0.038,-0.017,0.013
Diabetes,-0.03,0.03,-0.054,0.175,0.04,0.008,0.018,0.084,0.9,0.094,-0.03,0.063,-0.095,0.017,0.027
Psoriasis_and_other_inflammatory,0.253,0.03,-0.101,-0.304,0.115,0.269,0.072,-0.141,0.305,0.166,0.153,0.062,0.011,-0.321,-0.197
Peripheral_and_visceral_atherosclerosis,-0.026,0.021,-0.036,-0.06,0.072,-0.098,0.053,0.017,0.056,-0.047,0.069,0.951,0.018,-0.028,0.036
