"",ML11,ML15,ML14,ML13,ML16,ML6,ML7,ML18,ML5,ML4,ML19,ML2,ML17,ML3,ML8,ML12,ML10,ML9,ML1
Chronic_kidney_disease,0,0.959,0.057,-0.055,-0.08,-0.121,0.039,-0.076,0.045,0.015,-0.004,-0.005,-0.029,0.029,0.037,0.005,0.041,-0.068,0.047
Depression_and_Mood_disorders,0.01,0.291,0.016,0.236,0.228,0.303,0.059,0.236,-0.129,-0.018,-0.239,0.12,-0.129,0.109,0.065,-0.002,-0.045,0.166,-0.173
Gout,0.043,0.283,0.057,0.011,0.074,-0.195,-0.08,0.161,-0.231,-0.124,0.203,-0.003,0.148,0.152,-0.052,-0.089,0.052,0.106,0
Other_non-traumatic_joint_disorders,0.289,0.205,-0.056,-0.151,0.132,0.164,-0.085,0.225,-0.107,0.185,-0.092,-0.211,0.247,-0.094,-0.002,0.054,0.046,0.077,0.204
Hypertension,0.19,0.204,0.132,0.205,0.215,-0.029,0.018,-0.113,0.185,-0.022,0.285,0.031,0.049,0.071,0.025,-0.008,0.147,0.087,-0.012
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.012,0.186,-0.024,0.075,-0.012,0.266,-0.12,0.136,-0.149,0.002,0.054,0.038,0.147,0.069,0.205,0.129,-0.261,0.155,-0.139
Conduction_disorders,0.315,0.164,0.051,-0.194,0.165,0.137,-0.258,-0.142,0.048,0.042,0.336,0.17,-0.078,-0.098,0.142,-0.124,0.126,0.162,-0.166
Hyperplasia_of_prostate,0.052,0.135,-0.015,0.069,0.05,0.144,0.09,0,0.092,0.033,0.074,0.17,0.183,0.007,0.037,-0.047,0.116,0.032,0.023
Urinary_incontinence,-0.02,0.132,0.127,0.004,-0.107,0.131,0.338,0.182,-0.099,0.045,0.434,-0.033,0.046,-0.076,0.047,0.023,-0.045,0.053,0.09
Disorders_of_lipid_metabolism,0.24,0.132,0.022,-0.036,0.052,-0.102,-0.104,-0.046,0.026,0.084,0.219,0.167,0.109,0.014,0.087,0.302,0.02,0.096,-0.101
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.077,0.126,-0.076,0.015,0.24,0.209,0.039,0.234,-0.116,0.04,0.361,-0.045,0.05,-0.069,0.013,0.079,-0.247,0,0.099
Glaucoma,0.01,0.122,-0.112,0.23,0.057,-0.009,0.055,0.144,0.17,0.038,0.107,0.108,0.073,-0.035,-0.076,0,-0.04,0.018,0.024
Anxiety_disorders,-0.335,0.119,0.15,0.05,0.264,0.142,0.118,-0.002,0.133,0.251,-0.115,0.081,0.3,-0.065,0.002,0.076,0,0.103,-0.161
Headache__including_migraine,-0.048,0.119,-0.027,0.218,0.111,0.18,0.13,0.138,0.161,0.048,0.152,-0.131,-0.202,-0.003,0.047,0.246,-0.034,-0.122,0.043
Thyroid_disorders,0.064,0.118,-0.038,0.234,0.007,-0.046,-0.119,0.032,0.028,-0.021,-0.02,0.101,0.172,0.139,-0.223,0.129,-0.036,0.078,0.109
Ischemic_heart_disease,-0.202,0.113,0.415,0.099,-0.132,-0.022,0.098,-0.005,0.161,0.039,0.075,0.17,-0.099,0.167,0.171,0.066,-0.017,0.049,-0.213
Congestive_heart_failure__nonhypertensive,0.1,0.108,0.884,0.009,-0.005,0.019,-0.028,0.041,-0.073,-0.052,-0.003,-0.114,0.004,-0.052,-0.1,0.046,-0.102,-0.019,0.155
Hepatic_steatosis_and_other_liver_diseases,0.078,0.088,-0.164,-0.022,0.027,-0.144,-0.116,0.015,0.067,-0.012,0.112,0.339,0.223,0.064,0.035,-0.108,0.1,-0.056,0.056
Cardiac_dysrhythmias,-0.033,0.086,0.163,0.108,0.099,-0.006,0.001,-0.027,0.061,0.028,0.031,0.142,-0.029,0.064,0.122,-0.07,0.056,0.161,0.805
Allergic_rhinitis,-0.286,0.077,-0.193,0.18,0.022,0.33,-0.153,-0.05,-0.021,-0.086,0.255,-0.048,0.279,0.15,0.002,0.087,0.033,-0.087,0.015
Cataract,0.385,0.061,0.037,0.241,0.336,0.005,-0.057,0.137,0.175,-0.026,0.025,-0.196,0.095,-0.05,0.016,-0.142,-0.007,-0.001,0.058
Diabetes,0.338,0.053,-0.097,0.389,0.001,-0.147,0.055,0.063,0.167,0.053,0.325,0.099,-0.048,0.23,-0.036,0.012,-0.177,0.072,-0.032
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.048,0.049,0.067,0.14,0.184,0.134,0.057,0.272,0.229,0.248,-0.137,-0.084,0.097,-0.042,-0.072,-0.01,-0.053,-0.001,-0.058
Osteoarthritis,0.051,0.044,0.257,0.056,0.255,0.068,-0.126,0.085,0.073,0.035,-0.017,0.032,0.133,0.1,0.09,-0.086,0.208,0.053,-0.1
Acute_cerebrovascular_disease,0.065,0.043,-0.047,-0.059,0.051,-0.067,0.941,-0.127,0.061,-0.042,-0.012,0.071,0.018,0.022,0.065,0.006,-0.036,0.06,0.007
Myodesopsia_and_other_eye_disorders,-0.014,0.042,-0.047,0.05,0.017,0.014,-0.005,0.05,0.006,-0.027,-0.015,0.004,0.016,0.013,0.011,0.032,0.986,-0.002,0.038
Psoriasis_and_other_inflammatory,0.046,0.038,-0.045,-0.114,0.06,0.085,0.034,0.07,-0.02,0.085,-0.035,-0.126,-0.016,0.939,-0.043,0.073,0.009,-0.069,0.047
Peripheral_and_visceral_atherosclerosis,-0.033,0.037,-0.051,-0.059,-0.076,0.079,0.03,0.083,0.963,0.023,-0.011,-0.041,-0.015,-0.012,-0.03,0.064,0.013,0.034,0.03
Coagulation_and_hemorrhagic_disorders,0.017,0.036,0.226,0.082,0.03,-0.032,0.06,-0.018,0.142,-0.407,-0.07,0.157,0.501,0.116,0.154,-0.043,-0.21,-0.03,0.276
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.936,0.024,0.073,-0.019,-0.099,0.091,0.082,-0.057,-0.052,0.022,-0.013,0.052,0.043,0.071,-0.016,0.053,-0.027,0.003,-0.025
Obstructive_Sleep_apnea,-0.015,0.022,0.032,0.032,0.035,-0.003,0.163,-0.113,-0.087,0.099,0.112,0.072,0.199,0.197,0.094,0.011,0.118,0.086,-0.064
Other_male_genital_disorders,0.013,0.014,-0.004,0.082,-0.007,-0.047,-0.039,-0.043,0.034,0.961,0.002,0.084,0.035,0.095,0.063,-0.053,-0.024,-0.01,0.04
Vision_defects,-0.003,0.008,-0.075,0.004,-0.014,0.011,0.044,0.053,-0.035,0.033,-0.027,-0.079,-0.013,-0.046,0.998,0.039,0.008,-0.041,0.056
Transient_cerebral_ischemia,0.056,-0.001,0.192,0.137,-0.011,0.089,0.467,0.153,-0.183,-0.038,0.195,0.007,0.05,0.112,0.044,-0.156,0.15,0.037,-0.138
Other_nutritional__endocrine__and_metabolic_disorders,0.04,-0.002,-0.081,-0.014,0.069,0.086,0.079,0.139,-0.043,0.089,-0.018,0.92,-0.007,-0.131,-0.077,0.083,0.006,-0.086,0.093
Sexual_disorders,0.043,-0.007,0.051,0.025,0.059,-0.045,-0.01,-0.006,0.054,-0.065,0.002,0.048,-0.001,0.053,0.044,0.955,0.032,0.042,-0.027
Chronic_ulcer_of_skin,0.002,-0.025,0.162,0.024,0.134,-0.034,0.246,0.167,0.142,-0.16,0.311,-0.018,-0.09,0.046,-0.065,-0.23,-0.001,0.06,0.071
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.102,-0.051,0.331,-0.145,-0.06,0.179,0.158,0.164,0.146,0.095,0.343,-0.048,0.063,-0.082,0.01,0.084,0.131,-0.029,0.121
Inflammatory_conditions_of_male_genital_organs,-0.029,-0.055,0.015,0.965,-0.055,0.025,-0.042,-0.048,-0.067,0.083,-0.024,-0.019,0.021,-0.116,0.034,0.028,0.056,-0.011,0.062
Neoplasms,-0.026,-0.066,-0.043,-0.023,-0.059,-0.014,0.04,0.005,0.01,-0.011,-0.023,-0.071,-0.01,-0.048,-0.043,0.036,-0.004,0.997,0.074
Neuropathy_and_other_nervous_system_disorders,-0.043,-0.072,0.037,-0.044,-0.02,-0.12,-0.102,0.94,0.097,-0.042,0.021,0.132,0.019,0.072,0.075,0.017,0.076,0.018,-0.016
Diverticulosis_and_diverticulitis,-0.088,-0.081,-0.022,-0.067,0.943,-0.053,0.044,-0.031,-0.091,-0.005,-0.001,0.061,-0.009,0.07,-0.008,0.092,0.033,-0.069,0.062
Obesity,0.012,-0.099,0.248,0.01,0.073,-0.127,-0.144,-0.155,0.127,0.135,0.166,0.143,0.143,0.307,0.195,0.063,-0.034,0.126,-0.13
Esophageal_disorders,0.121,-0.101,-0.072,0.056,0.014,-0.017,0.06,0.094,-0.122,0.222,0.047,-0.064,0.651,-0.048,0.021,0.103,0.108,0.014,-0.108
Asthma,0.078,-0.125,0.023,0.009,-0.041,0.974,-0.046,-0.105,0.087,-0.029,0.014,0.065,-0.011,0.066,0.021,-0.04,0.013,-0.017,-0.002
