"",ML14,ML13,ML11,ML9,ML3,ML1,ML2,ML6,ML5,ML7,ML12,ML10,ML4,ML8
Cardiac_dysrhythmias,-0.056,0.893,0.141,-0.048,0.075,0.124,-0.156,-0.065,-0.092,0.087,-0.012,-0.024,0.118,0.037
Coagulation_and_hemorrhagic_disorders,0.131,0.498,0.11,0.013,-0.042,-0.09,-0.049,-0.069,-0.041,-0.047,0.015,0.235,-0.111,0.234
Other_non-traumatic_joint_disorders,0.162,0.441,-0.072,-0.011,-0.166,-0.018,0.173,0.182,0.099,0.187,-0.034,0.255,-0.081,-0.086
Transient_cerebral_ischemia,0.197,0.296,-0.103,-0.058,-0.096,0.139,-0.089,0.221,0.064,0.308,-0.143,0.143,0.167,-0.047
Cataract,-0.041,0.294,0.09,0.299,0.185,0.088,0.139,0.112,0.06,-0.128,-0.08,0.051,0.005,-0.239
Alcohol-related_disorders,-0.069,0.265,-0.018,0.121,-0.104,-0.104,0.221,-0.351,0.423,0.011,-0.056,-0.15,-0.115,0.056
Glaucoma,-0.13,0.23,0.242,0.158,0.098,-0.116,0.105,0.127,0.024,0.234,0.163,-0.047,0.039,-0.022
Neoplasms,-0.119,0.229,0.078,0.054,0.05,0.14,0.052,0.158,-0.008,-0.007,0.033,-0.32,-0.22,0.105
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.13,0.229,0.047,0.116,0.113,0.071,0.263,0.247,-0.111,-0.133,-0.013,-0.334,0.075,-0.136
Hyperplasia_of_prostate,0.099,0.223,0.08,0.015,0.124,0.011,0.321,-0.069,0.021,0.002,0.147,0.045,-0.199,-0.007
Gout,0.455,0.219,-0.025,0.074,-0.081,0.053,-0.097,-0.12,-0.012,-0.105,-0.064,0.062,-0.129,0.206
Hypertension,0.41,0.199,0.221,-0.088,0.335,-0.059,0.148,-0.091,0.157,0.082,0.196,0.049,-0.084,-0.054
Psoriasis_and_other_inflammatory,0.351,0.187,-0.043,0.126,0.194,-0.419,0.038,0.003,0.126,-0.309,-0.21,-0.034,0.075,0.06
Diverticulosis_and_diverticulitis,0.285,0.177,0.096,0.086,-0.052,-0.042,0.203,-0.15,-0.02,-0.063,0.005,0.091,-0.016,0.083
Osteoarthritis,0.443,0.165,0.019,0.267,-0.024,0.115,-0.103,0.107,-0.093,0.002,0,0.016,0.18,0.047
Vision_defects,0.273,0.146,-0.012,-0.141,-0.248,0.204,0.124,0.054,0.127,0.054,0.195,-0.325,0.099,0.082
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.206,0.144,0.039,0.294,-0.116,0.053,0.148,0.254,0.137,-0.157,0.125,-0.046,0.046,0.056
Chronic_ulcer_of_skin,0.045,0.139,0.145,0.079,0.115,0.26,0.025,0.19,-0.255,-0.015,0.018,0.176,0.15,0.147
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.045,0.134,0.519,-0.106,-0.098,-0.049,0.144,-0.055,0.144,-0.067,-0.156,-0.091,0.099,0.24
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.015,0.112,0.026,-0.085,0.045,0.239,0.235,0.163,0.191,0.059,-0.347,0.095,0.084,0.199
Myodesopsia_and_other_eye_disorders,-0.023,0.101,0.013,0.242,0.182,0.022,0.158,0.128,-0.209,-0.185,0.245,0.052,0.068,0.146
Chronic_kidney_disease,0.151,0.097,0.247,-0.041,0.416,0.149,0.062,0.185,0.072,-0.164,-0.024,0.17,-0.125,-0.153
Urinary_incontinence,0.021,0.087,0.025,0.066,0.015,0.894,0.133,-0.025,0.012,-0.026,-0.095,0.102,-0.024,0.016
Congestive_heart_failure__nonhypertensive,-0.041,0.082,0.926,-0.113,-0.022,0.077,-0.106,-0.018,-0.008,-0.064,0.006,0.138,-0.042,0.059
Esophageal_disorders,-0.039,0.073,-0.007,0.146,0.111,0.146,-0.137,-0.09,0.035,-0.082,0.361,0.02,-0.172,-0.064
Inflammatory_conditions_of_male_genital_organs,0.013,0.065,-0.025,0.046,-0.052,-0.037,0.046,-0.009,0.076,-0.104,0.112,0.012,0.929,-0.041
Acute_cerebrovascular_disease,0.022,0.064,-0.042,0.054,0.035,-0.009,0.046,0.014,0.03,0.957,0.017,0.037,-0.101,0.043
Anxiety_disorders,0.136,0.06,0.076,0.215,-0.1,0.151,0.074,0.136,0.255,0.035,-0.021,-0.191,0.113,-0.136
Obstructive_Sleep_apnea,0.293,0.057,0.055,0.087,0.148,0.433,-0.103,-0.262,0.157,-0.032,0.08,-0.114,-0.065,0.043
Peripheral_and_visceral_atherosclerosis,0.091,0.055,0.261,0.082,0.152,-0.108,0.203,-0.177,-0.129,0.198,-0.138,-0.011,0.194,0.029
Hepatic_steatosis_and_other_liver_diseases,0.068,0.047,0.016,0.145,-0.083,0.041,0.12,-0.93,0.014,-0.028,0.064,-0.024,0.034,-0.095
Ischemic_heart_disease,0.146,0.036,0.448,0.3,-0.046,-0.248,0.098,0.035,-0.056,0.284,-0.078,0.035,0.018,-0.003
Heart_valve_disorders,0.021,0.022,0.096,0.079,-0.031,0.078,0.055,0.038,0.032,0.035,0.006,0.934,0.018,-0.066
