"",ML9,ML10,ML2,ML8,ML3,ML7,ML4,ML1,ML5,ML6
Obstructive_Sleep_apnea,0.087,0.489,0.085,0.03,-0.219,0.289,0.004,-0.007,0.218,0.192
Chronic_kidney_disease,0.338,0.485,-0.035,0.046,0.136,-0.236,-0.108,-0.106,-0.044,-0.116
Depression_and_Mood_disorders,-0.003,0.477,0.222,0.055,-0.025,-0.124,0.067,0.104,0.006,0.044
Sexual_disorders,-0.128,0.466,0.033,-0.281,0.16,-0.025,0.184,0.139,-0.058,-0.009
Urinary_incontinence,0.044,0.427,0.092,0.371,-0.339,0.146,-0.236,0.063,0.118,0.196
Hypertension,0.382,0.403,-0.06,0.004,0.087,0.107,0.205,0.105,0.084,-0.004
Anxiety_disorders,-0.165,0.383,0.126,-0.063,0.176,-0.054,-0.017,0.217,0.041,0.28
Disorders_of_lipid_metabolism,0.035,0.375,0.009,0.056,0.155,0.023,0.128,0.145,0.13,0.152
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.066,0.364,0.262,-0.004,0.151,-0.197,0.191,0.224,-0.146,0.049
Diabetes,0.119,0.362,-0.064,0.331,0.194,0.119,0.022,-0.01,-0.154,-0.043
Obesity,0.125,0.35,-0.141,-0.028,0.213,0.353,0.07,0.077,0.198,-0.03
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.162,0.347,0.106,0.055,-0.087,-0.184,0.019,-0.213,0.096,-0.159
Diverticulosis_and_diverticulitis,0.195,0.345,0.138,-0.079,-0.156,0.206,0.055,0.009,0.143,-0.261
Headache__including_migraine,0.051,0.336,0.077,0.117,0.111,-0.156,0.131,-0.013,0.058,0.103
Osteoarthritis,0.099,0.298,0.212,0.165,0.093,-0.007,0.031,0.093,0.2,-0.031
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.117,0.264,0.035,0.178,0.085,-0.13,-0.284,0.147,0.011,0.04
Allergic_rhinitis,-0.085,0.239,0.191,0.071,0.167,0.091,0.185,0.087,-0.041,0.121
Inflammatory_conditions_of_male_genital_organs,-0.229,0.21,0.034,0.104,0.194,0.19,0.383,0.202,-0.12,-0.144
Congestive_heart_failure__nonhypertensive,0.652,0.195,-0.241,0.216,-0.055,0.005,-0.038,-0.069,-0.021,0.052
Gout,0.367,0.164,0.076,-0.036,0.192,0.136,-0.054,-0.044,0.111,-0.052
Vision_defects,-0.01,0.163,-0.156,0.102,0.148,0.094,0.412,0.149,0.14,-0.269
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.497,0.137,-0.086,-0.049,-0.1,0.074,-0.03,-0.006,0.099,-0.092
Cataract,0.156,0.122,0.274,0.228,0.02,-0.038,-0.135,0.042,0.145,-0.022
Hyperplasia_of_prostate,0.3,0.088,0.099,-0.185,0.032,0.074,0.104,0.087,0.228,0.013
Alcohol-related_disorders,0.17,0.08,0.199,-0.217,0.236,0.337,0.044,-0.155,0.011,-0.249
Peripheral_and_visceral_atherosclerosis,0.333,0.058,0.138,-0.107,0.106,0.173,-0.112,0.032,0.081,-0.018
Glaucoma,0.527,0.027,0.203,-0.194,0.06,-0.188,0.134,0.075,-0.182,0.144
Neuropathy_and_other_nervous_system_disorders,-0.084,0.018,0.968,0.059,0.024,0.125,-0.03,-0.024,-0.034,0.034
Esophageal_disorders,0.04,0.005,0.017,-0.079,0.06,0.015,0.097,-0.051,-0.001,0.959
Cardiac_dysrhythmias,0.637,0.003,-0.083,0.226,0.072,0.142,-0.063,0.258,-0.088,0.093
Psoriasis_and_other_inflammatory,0.028,-0.003,0.033,0.051,0.98,0.005,-0.081,-0.08,0.073,0.063
Other_male_genital_disorders,-0.003,-0.014,-0.017,0.039,-0.098,0.037,0.977,-0.067,0.009,0.118
Transient_cerebral_ischemia,0.033,-0.015,-0.024,0.033,-0.095,-0.052,-0.057,0.955,0.071,-0.053
Ischemic_heart_disease,0.35,-0.016,0.296,0.037,0.12,-0.004,-0.04,0.157,0.091,-0.129
Thyroid_disorders,-0.058,-0.027,-0.031,-0.011,0.056,-0.041,0.007,0.049,0.998,-0.001
Chronic_ulcer_of_skin,0.007,-0.049,0.061,0.978,0.054,-0.057,0.066,0.035,0.004,-0.086
Neoplasms,0.208,-0.058,0.065,0.101,-0.119,-0.182,-0.013,-0.007,0.128,0.207
Hepatic_steatosis_and_other_liver_diseases,0.022,-0.059,0.113,-0.04,-0.005,0.967,0.051,-0.052,-0.049,0.017
Acute_cerebrovascular_disease,0.28,-0.088,0.288,-0.083,-0.277,-0.091,0.047,0.299,-0.08,-0.075
Osteoporosis,0.37,-0.107,0.335,0.123,-0.032,-0.209,0.301,-0.169,0.258,-0.036
Coagulation_and_hemorrhagic_disorders,0.573,-0.197,0.034,0.055,0.206,0.071,-0.014,0.265,0.097,0.086
