"",ML4,ML2,ML1,ML3,ML5
Hypertension,-0.039,1.005,-0.029,-0.009,0.022
Sexual_disorders,0.067,0.4,0.254,-0.195,-0.097
Disorders_of_lipid_metabolism,0.089,0.396,0.243,0.117,-0.137
Obesity,0.122,0.322,-0.284,0.078,-0.235
Miscellaneous_mental_health_disorders,0.229,0.199,-0.073,-0.079,0.052
Inflammatory_conditions_of_male_genital_organs,0.005,0.192,0.116,0.151,0.309
Asthma,0.229,0.155,-0.105,0.133,0.616
Thyroid_disorders,0.242,0.145,-0.048,0.077,-0.621
Headache__including_migraine,0.147,0.127,0.225,0.117,0.026
Esophageal_disorders,0.203,0.118,-0.002,0.141,0.213
Vision_defects,0.164,0.081,-0.055,0.215,-0.021
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.274,0.057,-0.033,-0.179,0.119
Anxiety_disorders,0.685,0.056,0.011,0.069,-0.03
Alcohol-related_disorders,0.348,0.042,0.324,-0.299,0.106
Adictions,0.404,-0.003,0.336,-0.182,0.134
Allergic_rhinitis,0.017,-0.01,0.049,0.993,0.017
Hepatitis,-0.007,-0.015,0.996,0.056,-0.017
Depression_and_Mood_disorders,0.692,-0.113,-0.011,0.046,-0.021
Other_male_genital_disorders,0.342,-0.157,-0.13,-0.012,-0.01
