"",ML1,ML2
Obesity,-0.164,0.647
Hypertension,0.071,0.617
Disorders_of_lipid_metabolism,0.222,0.395
Miscellaneous_mental_health_disorders,0.141,0.284
Vision_defects,0.108,0.258
Anxiety_disorders,0.568,0.235
Asthma,0.243,0.219
Depression_and_Mood_disorders,0.513,0.209
Headache__including_migraine,0.26,0.206
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.198,0.205
Allergic_rhinitis,0.117,0.185
Inflammatory_conditions_of_male_genital_organs,0.255,0.115
Other_male_genital_disorders,0.197,0.067
Adictions,0.705,-0.14
Hepatitis,0.521,-0.246
