"",ML2,ML1,ML3
Miscellaneous_mental_health_disorders,-0.019,1.002,-0.022
Headache__including_migraine,0.204,0.351,0.064
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.154,0.29,0.049
Hypertension,0.11,0.178,0.505
Other_male_genital_disorders,0.168,0.154,0.028
Depression_and_Mood_disorders,0.512,0.149,0.183
Inflammatory_conditions_of_male_genital_organs,0.237,0.106,-0.001
Anxiety_disorders,0.583,0.055,0.172
Vision_defects,0.128,0.054,0.243
Asthma,0.253,0.04,0.14
Hepatitis,0.507,-0.048,-0.254
Obesity,-0.084,-0.054,0.805
Disorders_of_lipid_metabolism,0.294,-0.064,0.419
Allergic_rhinitis,0.156,-0.072,0.182
Adictions,0.713,-0.077,-0.137
