"",ML1,ML3,ML2
Other_male_genital_disorders,-0.179,0.526,0.163
Anxiety_disorders,0.122,0.503,-0.146
Allergic_rhinitis,-0.089,0.391,0.137
Inflammatory_conditions_of_male_genital_organs,0.008,0.389,0.275
Disorders_of_lipid_metabolism,0.289,0.36,-0.198
Headache__including_migraine,0.164,0.31,0.039
Depression_and_Mood_disorders,0.276,0.296,-0.034
Hypertension,0.474,0.245,-0.242
Asthma,0.072,0.244,0.376
Vision_defects,0.189,0.198,0.024
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.213,0.114,-0.131
Atopic_dermatitis,0.05,0.007,0.903
Obesity,1.002,-0.029,0.064
