"",ML2,ML1,ML3
Hypertension,-0.027,0.998,-0.034
Sexual_disorders,-0.024,0.436,0.332
Disorders_of_lipid_metabolism,0.206,0.368,0.058
Obesity,0.259,0.249,-0.54
Miscellaneous_mental_health_disorders,0.217,0.2,-0.043
Inflammatory_conditions_of_male_genital_organs,0.084,0.182,0.096
Asthma,0.256,0.157,-0.009
Thyroid_disorders,0.222,0.138,-0.223
Anxiety_disorders,0.556,0.122,0.178
Esophageal_disorders,0.249,0.116,0.002
Headache__including_migraine,0.23,0.114,0.112
Alcohol-related_disorders,0.211,0.104,0.508
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.211,0.073,0.052
Adictions,0.353,0.032,0.416
Vision_defects,0.345,0.023,-0.274
Hepatitis,0.161,-0.052,0.591
Allergic_rhinitis,0.301,-0.052,-0.231
Depression_and_Mood_disorders,0.719,-0.102,0.012
Other_male_genital_disorders,0.292,-0.141,-0.071
