"",ML4,ML1,ML3,ML2
Disorders_of_lipid_metabolism,0.001,0.998,-0.038,-0.054
Hypertension,0.094,0.38,0.256,0.31
Obesity,0.009,0.339,0.132,0.446
Allergic_rhinitis,0.004,0.135,0.191,-0.053
Hepatitis,0.088,0.12,0.111,-0.82
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.106,0.114,0.299,0.071
Anxiety_disorders,0.595,0.089,0.09,0.078
Depression_and_Mood_disorders,0.593,0.037,0.075,0.087
Inflammatory_conditions_of_male_genital_organs,0.125,-0.023,0.293,-0.061
Other_male_genital_disorders,0.269,-0.033,0.053,0.128
Vision_defects,0.163,-0.045,0.202,0.126
Adictions,0.679,-0.045,-0.135,-0.25
Headache__including_migraine,-0.041,-0.048,0.7,-0.214
Miscellaneous_mental_health_disorders,0.061,-0.052,0.539,0.131
Asthma,0.334,-0.131,0.216,0.179
