"",ML6,ML5,ML3,ML4,ML2,ML1
Atopic_dermatitis,0.028,0.99,0.026,0.022,0.031,-0.008
Asthma,0.086,0.366,-0.053,0.072,-0.172,0.169
Inflammatory_conditions_of_male_genital_organs,0.18,0.183,0.296,0.33,0.018,-0.19
Allergic_rhinitis,-0.029,0.12,0.204,0.029,0.184,0.154
Obesity,0.979,0.089,-0.081,-0.051,-0.028,0.062
Miscellaneous_mental_health_disorders,-0.036,0.02,0.993,-0.031,-0.013,0.047
Other_acquired_deformities,-0.022,0.019,-0.018,-0.014,1.001,0.004
Other_male_genital_disorders,-0.041,0.016,-0.033,0.998,-0.014,0.023
Headache__including_migraine,0.257,0.001,0.2,0.119,0.233,-0.004
Depression_and_Mood_disorders,0.021,0,0.035,0.014,0.002,0.98
Vision_defects,0.286,-0.041,0.161,0.228,0.154,-0.116
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.283,-0.147,0.095,0.094,0.021,-0.105
Anxiety_disorders,0.177,-0.148,0.116,0.149,0.117,0.278
Thyroid_disorders,0.387,-0.179,0.161,-0.061,0.176,-0.071
Disorders_of_lipid_metabolism,0.398,-0.189,0.18,0.128,0.006,-0.01
Hypertension,0.551,-0.217,0.166,0.049,-0.036,-0.016
Sexual_disorders,0.162,-0.281,-0.148,0.226,0.145,0.121
