"",ML3,ML2,ML1,ML4
Miscellaneous_mental_health_disorders,-0.027,1.003,0.019,-0.019
Depression_and_Mood_disorders,0.326,0.237,-0.045,0.17
Inflammatory_conditions_of_male_genital_organs,0.07,0.232,0.228,0.281
Allergic_rhinitis,-0.03,0.216,0.117,0.291
Headache__including_migraine,0.204,0.193,0.023,0.267
Thyroid_disorders,0.368,0.176,-0.168,-0.088
Disorders_of_lipid_metabolism,0.348,0.152,-0.178,0.249
Hypertension,0.523,0.152,-0.213,0.099
Anxiety_disorders,0.205,0.149,-0.146,0.365
Vision_defects,0.215,0.141,-0.001,0.172
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.225,0.064,-0.132,0.113
Other_acquired_deformities,-0.072,0.055,0.069,0.209
Atopic_dermatitis,0.037,0.022,0.994,0.016
Asthma,0.128,-0.051,0.352,0.15
Obesity,1.004,-0.06,0.081,-0.036
Other_male_genital_disorders,-0.126,-0.067,0.126,0.651
Sexual_disorders,0.133,-0.148,-0.262,0.399
