"",ML6,ML5,ML3,ML2,ML7,ML4,ML9,ML1,ML8
Anxiety_disorders,0,0.986,0.055,0.042,-0.015,0.015,-0.023,0.006,-0.02
Alcohol-related_disorders,0.019,0.318,-0.249,0.018,0.376,-0.153,0.04,0.097,0.231
Other_male_genital_disorders,-0.223,0.21,-0.066,0.05,-0.173,0.278,0.129,0.04,-0.11
Thyroid_disorders,0.151,0.175,0.09,0.04,-0.077,-0.097,0.171,-0.058,-0.628
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.125,0.158,-0.269,-0.152,-0.033,0.29,0.346,0.186,0.079
Sexual_disorders,0.4,0.156,-0.159,-0.172,0.447,-0.04,0.1,-0.086,-0.086
Depression_and_Mood_disorders,-0.136,0.153,0.086,0.303,-0.022,-0.142,0.458,0.103,0.057
Asthma,0.181,0.1,0.156,0.077,-0.118,0.005,0.172,-0.116,0.631
Esophageal_disorders,0.043,0.083,0.119,-0.036,-0.012,0.054,0.181,0.134,0.241
Allergic_rhinitis,-0.007,0.057,0.984,-0.071,0.039,0.036,-0.001,0.033,0.019
Adictions,0.037,0.047,-0.075,0.964,0.049,0.041,-0.008,-0.006,0.005
Disorders_of_lipid_metabolism,0.063,0.006,0.025,-0.003,0.026,-0.01,-0.017,0.974,-0.007
Inflammatory_conditions_of_male_genital_organs,0.042,0.005,0.033,0.034,0.01,0.982,-0.005,-0.014,0.017
Hypertension,0.962,-0.001,0.004,0.041,-0.041,0.051,-0.001,0.094,0.014
Obesity,0.209,-0.015,0.021,-0.082,-0.396,-0.063,0.203,0.277,-0.14
Miscellaneous_mental_health_disorders,0.123,-0.024,-0.102,-0.094,0.036,0.069,0.555,-0.062,0.001
Hepatitis,-0.113,-0.039,0.126,0.22,0.728,0.044,0.034,0.141,-0.035
Headache__including_migraine,0.057,-0.04,0.116,-0.036,0.318,0.124,0.456,-0.068,-0.049
Vision_defects,0.09,-0.147,0.243,0.158,-0.116,-0.095,0.35,-0.059,-0.008
