"",ML7,ML1,ML4,ML5,ML2,ML6,ML3
Hypertension,-0.018,0.978,-0.046,0.036,-0.006,0.044,0.029
Disorders_of_lipid_metabolism,0.117,0.429,0.227,-0.074,0.13,-0.066,-0.016
Sexual_disorders,0.022,0.389,0.266,0.113,-0.175,-0.069,0.035
Obesity,0.058,0.335,-0.271,-0.059,0.076,-0.064,0.192
Asthma,0.345,0.187,-0.148,0.004,0.183,0.07,-0.377
Alcohol-related_disorders,0.459,0.098,0.287,-0.055,-0.248,-0.14,-0.161
Vision_defects,0.118,0.086,-0.04,0.068,0.236,-0.065,0.044
Esophageal_disorders,0.19,0.077,-0.006,0.199,0.163,0.066,-0.044
Anxiety_disorders,0.7,0.055,-0.027,-0.007,0.087,0.042,0.14
Headache__including_migraine,0.02,0.039,0.252,0.357,0.124,0.117,0.078
Thyroid_disorders,0.038,0.038,0.009,-0.009,0.006,-0.019,0.986
Inflammatory_conditions_of_male_genital_organs,-0.018,0.03,0.024,-0.009,0.015,0.989,-0.025
Miscellaneous_mental_health_disorders,0,0.022,0.004,0.996,-0.014,-0.011,-0.015
Adictions,0.478,0.003,0.28,-0.12,-0.183,0.145,-0.02
Allergic_rhinitis,0.021,-0.002,0.049,-0.012,0.992,0.014,-0.002
Hepatitis,0.003,-0.03,0.992,0.007,0.053,0.024,0.016
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.188,-0.035,-0.043,0.236,-0.197,0.294,0.064
Depression_and_Mood_disorders,0.636,-0.097,-0.013,0.15,0.101,-0.091,0.033
Other_male_genital_disorders,0.267,-0.229,-0.148,0.123,-0.043,0.286,0.135
