"",ML1,ML2
Hypertension,0.087,0.644
Obesity,-0.208,0.634
Disorders_of_lipid_metabolism,0.245,0.384
Thyroid_disorders,0.004,0.35
Miscellaneous_mental_health_disorders,0.15,0.303
Anxiety_disorders,0.588,0.26
Vision_defects,0.05,0.256
Depression_and_Mood_disorders,0.503,0.213
Esophageal_disorders,0.213,0.207
Headache__including_migraine,0.276,0.205
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.214,0.194
Allergic_rhinitis,0.048,0.193
Sexual_disorders,0.266,0.182
Asthma,0.224,0.173
Inflammatory_conditions_of_male_genital_organs,0.19,0.106
Other_male_genital_disorders,0.156,0.071
Alcohol-related_disorders,0.559,-0.091
Adictions,0.622,-0.124
Hepatitis,0.575,-0.246
