"",ML5,ML4,ML3,ML1,ML2,ML6
Hypertension,-0.036,0.996,-0.032,0.033,-0.01,0.025
Disorders_of_lipid_metabolism,0.126,0.41,0.229,-0.089,0.11,-0.131
Sexual_disorders,0.033,0.383,0.262,0.102,-0.188,-0.108
Obesity,0.13,0.338,-0.289,-0.066,0.075,-0.229
Inflammatory_conditions_of_male_genital_organs,-0.031,0.176,0.124,0.095,0.158,0.303
Asthma,0.222,0.158,-0.115,-0.001,0.138,0.619
Thyroid_disorders,0.233,0.148,-0.045,0.011,0.079,-0.619
Esophageal_disorders,0.151,0.082,0.008,0.204,0.156,0.205
Vision_defects,0.131,0.075,-0.048,0.059,0.222,-0.02
Headache__including_migraine,0.038,0.064,0.257,0.367,0.143,0.001
Anxiety_disorders,0.721,0.057,-0.015,-0.002,0.074,-0.031
Alcohol-related_disorders,0.388,0.055,0.301,-0.072,-0.301,0.111
Miscellaneous_mental_health_disorders,0.006,0.015,-0.002,0.993,-0.02,-0.002
Adictions,0.46,0.014,0.307,-0.106,-0.186,0.148
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.193,0.014,-0.015,0.271,-0.158,0.102
Allergic_rhinitis,0.017,-0.008,0.051,-0.018,0.993,0.019
Hepatitis,0.001,-0.02,0.995,0.004,0.055,-0.018
Depression_and_Mood_disorders,0.651,-0.13,-0.014,0.139,0.064,-0.025
Other_male_genital_disorders,0.305,-0.183,-0.125,0.159,0.001,-0.021
