"",ML1,ML3,ML5,ML4,ML2
Depression_and_Mood_disorders,0.021,0.995,-0.015,-0.002,-0.018
Anxiety_disorders,0.047,0.293,0.343,-0.125,0.113
Allergic_rhinitis,-0.138,0.165,0.331,0.144,0.078
Asthma,0.048,0.155,0.161,0.402,0.003
Other_male_genital_disorders,-0.234,0.134,0.428,0.184,0.202
Obesity,0.972,0.048,-0.024,0.08,0.056
Headache__including_migraine,0.147,0.033,0.264,0.047,0.115
Disorders_of_lipid_metabolism,0.275,0.01,0.46,-0.203,-0.033
Hypertension,0.474,0.004,0.345,-0.245,-0.096
Vision_defects,0.027,-0.016,-0.005,-0.019,0.995
Atopic_dermatitis,0.078,-0.017,0.001,0.846,-0.026
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.198,-0.067,0.1,-0.137,0.193
Inflammatory_conditions_of_male_genital_organs,0.035,-0.108,0.472,0.319,-0.014
