"",ML4,ML5,ML3,ML2,ML1
Other_nutritional__endocrine__and_metabolic_disorders,0,0.645,0,0,0
Obesity,0,0.558,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.491,0,0,0
Cataract,0,0.453,0,0,0
Hypertension,0,0.389,0,0.31,0
Congestive_heart_failure__nonhypertensive,0,0.344,0.311,0,0.349
Osteoarthritis,0,0.34,0,0,0
Diabetes,0,0.338,0,0,0
Disorders_of_lipid_metabolism,0,0.328,0,0,0
Chronic_ulcer_of_skin,0,0,0.939,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.547,0,0
Urinary_incontinence,0,0,0.529,0,0
Irritable_bowel_and_other_GI_disorders,0.34,0,0.425,0,0
Ischemic_heart_disease,0,0,0,0.989,0
Chronic_kidney_disease,0,0,0,0.37,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0.974
Cardiac_dysrhythmias,0,0,0,0,0.324
Heart_valve_disorders,0,0,0,0,0.323
Acquired_foot_deformities,0.537,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0
Allergic_rhinitis,0.308,0,0,0,0
Anxiety_disorders,0.438,0,0,0,0
Asthma,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0
Depression_and_Mood_disorders,0.461,0,0,0,0
Diverticulosis_and_diverticulitis,0.412,0,0,0,0
Esophageal_disorders,0,0,0,0,0
Glaucoma,0,0,0,0,0
Headache__including_migraine,0.355,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.427,0,0,0,0
Menopausal_disorders,0.665,0,0,0,0
Menstrual_disorders,0.45,0,0,0,0
Miscellaneous_mental_health_disorders,0.365,0,0,0,0
Myodesopsia_and_other_eye_disorders,0.53,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.332,0,0,0,0
Osteoporosis,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.302,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0
Vision_defects,0.411,0,0,0,0
