"",ML7,ML2,ML1,ML6,ML4,ML3,ML5
Hypertension,0,0.972,0,0,0,0,0
Diabetes,0,0.44,0,0,0,0,0
Obesity,0,0.376,0.355,0,0,0,0
Acute_cerebrovascular_disease,0,0.357,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.878,0,0,0,0
Chronic_kidney_disease,0,0,0.401,0,0.313,0,0
Chronic_ulcer_of_skin,0,0,0,0.937,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.305,0,0,0.552,0,0,0
Urinary_incontinence,0,0,0,0.511,0,0,0
Ischemic_heart_disease,0,0,0,0,0.958,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0.985,0
Cataract,0,0,0,0,0,0.359,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0.949
Cardiac_dysrhythmias,0,0,0,0,0,0,0.33
Acquired_foot_deformities,0.461,0,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0
Anxiety_disorders,0.392,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.555,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.353,0,0,0,0,0,0
Esophageal_disorders,0.302,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0
Headache__including_migraine,0.322,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.505,0,0,0,0,0,0
Menopausal_disorders,0.609,0,0,0,0,0,0
Menstrual_disorders,0.449,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.42,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0.546,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.375,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0
Vision_defects,0.43,0,0,0,0,0,0
