"",ML3,ML2,ML1
Congestive_heart_failure__nonhypertensive,0,0.99,0
Coagulation_and_hemorrhagic_disorders,0.399,0.42,0
Heart_valve_disorders,0.5,0.404,0
Urinary_incontinence,0.364,0.343,0
Asthma,0,0,1.004
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.302,0,0.561
Vision_defects,0,0,0.432
Depression_and_Mood_disorders,0,0,0.341
Acquired_foot_deformities,0,0,0
Adjustment_disorders,0.43,0,0
Allergic_rhinitis,0,0,0
Anxiety_disorders,0,0,0
Cardiac_dysrhythmias,0.423,0,0
Cataract,0.493,0,0
Chronic_kidney_disease,0.448,0,0
Chronic_ulcer_of_skin,0.356,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.517,0,0
Diabetes,0,0,0
Diseases_of_white_blood_cells,0.405,0,0
Disorders_of_lipid_metabolism,0,0,0
Diverticulosis_and_diverticulitis,0.304,0,0
Glaucoma,0.636,0,0
Headache__including_migraine,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.361,0,0
Hypertension,0,0,0
Osteoporosis,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.301,0,0
Thyroid_disorders,0.439,0,0
