"",ML16,ML6,ML5,ML1,ML11,ML12,ML13,ML7,ML14,ML4,ML15,ML10,ML9,ML3,ML2,ML8
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0.307,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0
Atopic_dermatitis,0,0,0.978,0,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0.366,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0.906,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0.548,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0.463,0,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0.966,0,0,0,0,0,0,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0.364,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0.922,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0,0,0.348,0,0,0,0,0.387,0,0.308,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0.897,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0.312,0,0,0.316,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0.306,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0.303,0,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0,0,0,0,0.879,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0,0.827,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0.322,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0.966,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.333,0,0,0,0,0,0,0,0,0.321,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
Irritable_bowel_and_other_GI_disorders,0,0,0,0,0,0,0,0,0,0,0,0.887,0,0,0,0
Depression_and_Mood_disorders,0.427,0,0,0,0,0,0,0,0,0,0,0.406,0,0,0,0
Menopausal_disorders,0.429,0,0,0,0,0,0,0,0,0,0,0.347,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.441,0,0,0,0,0,0,0,0,0,0,0,0.412,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885,0
Heart_valve_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975
Acquired_foot_deformities,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0.433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
