"",ML7,ML1,ML6,ML4,ML5,ML3,ML2
Coagulation_and_hemorrhagic_disorders,0,0.881,0,0,0,0,0
Cardiac_dysrhythmias,0,0.678,0,0,0,0,0
Chronic_kidney_disease,0,0.427,0,0,0,0,0
Allergic_rhinitis,0,0.335,0,0,0,0.325,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0.909,0,0,0,0
Glaucoma,0,0,0.471,0,0,0,0
Vision_defects,0,0,0.382,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0.91,0,0,0
Urinary_incontinence,0,0,0,0.426,0.302,0,0
Anxiety_disorders,0,0,0,0.366,0,0.437,0
Hypertension,0,0,0,0.353,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0.948,0,0
Cataract,0.502,0,0,0,0.307,0,0
Adjustment_disorders,0,0,0,0,0,0.979,0
Asthma,0,0,0,0,0,0,0.926
Acquired_foot_deformities,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.344,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.621,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.413,0,0,0,0,0,0
Headache__including_migraine,0.337,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.436,0,0,0,0,0,0
Osteoporosis,0.463,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.321,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0
