"",ML5,ML4,ML2,ML3,ML1
Asthma,0,0.74,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.737,0,0,0
Vision_defects,0,0.691,0,0,0
Anxiety_disorders,0,0.306,0,0,0
Headache__including_migraine,0,0.303,0,0,0
Chronic_ulcer_of_skin,0,0,1.006,0,0
Urinary_incontinence,0,0,0.383,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.347,0.325,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0.316,0,0
Chronic_kidney_disease,0,0,0,0.993,0
Cardiac_dysrhythmias,0.353,0,0,0.437,0
Heart_valve_disorders,0.43,0,0,0.345,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0.929
Acquired_foot_deformities,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0
Allergic_rhinitis,0.319,0,0,0,0
Cataract,0.304,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.373,0,0,0,0
Depression_and_Mood_disorders,0.325,0,0,0,0
Diabetes,0,0,0,0,0
Diseases_of_white_blood_cells,0.384,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.756,0,0,0,0
Glaucoma,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0
Hypertension,0,0,0,0,0
Osteoporosis,0.362,0,0,0,0
Thyroid_disorders,0,0,0,0,0
