"",ML1,ML8,ML6,ML9,ML7,ML5,ML2,ML3,ML4
Coagulation_and_hemorrhagic_disorders,0,0.84,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0.659,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0.47,0,0.451,0,0,0,0,0
Thyroid_disorders,0,0.325,0,0.45,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0.905,0,0,0,0,0,0
Glaucoma,0,0,0.46,0,0,0,0,0,0
Vision_defects,0,0,0.354,0,0,0,0,0,0
Cataract,0,0,0,0.656,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0.417,0,0,0,0,0
Osteoporosis,0,0,0,0.336,0,0,0,0,0
Headache__including_migraine,0,0,0,0.327,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0.976,0,0,0,0
Diabetes,0,0,0,0,0.357,0,0,0,0
Anxiety_disorders,0.421,0,0,0,0.351,0,0,0,0.303
Diverticulosis_and_diverticulitis,0,0,0,0,0,0.988,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0.319,0,0,0
Asthma,0,0,0,0,0,0,0.92,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0.901,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0.975
Acquired_foot_deformities,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.92,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0
Hypertension,0.395,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0.474,0,0,0,0,0,0,0,0
