"",ML4,ML3,ML1,ML2
Congestive_heart_failure__nonhypertensive,0,0.966,0,0
Coagulation_and_hemorrhagic_disorders,0,0.42,0,0
Chronic_kidney_disease,0,0.377,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.374,0,0
Obesity,0,0.333,0,0.311
Cardiac_dysrhythmias,0,0.33,0,0
Chronic_ulcer_of_skin,0,0,0.953,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.313,0,0.521,0
Urinary_incontinence,0,0,0.464,0
Diabetes,0,0,0,1.003
Hypertension,0,0,0,0.436
Acquired_foot_deformities,0.496,0,0,0
Acute_cerebrovascular_disease,0,0,0,0
Adjustment_disorders,0,0,0,0
Allergic_rhinitis,0,0,0,0
Anxiety_disorders,0.497,0,0,0
Asthma,0.304,0,0,0
Atopic_dermatitis,0,0,0,0
Cataract,0.336,0,0,0
Depression_and_Mood_disorders,0.505,0,0,0
Disorders_of_lipid_metabolism,0.382,0,0,0
Diverticulosis_and_diverticulitis,0.316,0,0,0
Esophageal_disorders,0,0,0,0
Glaucoma,0,0,0,0
Headache__including_migraine,0.53,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.424,0,0,0
Ischemic_heart_disease,0.323,0,0,0
Menopausal_disorders,0.523,0,0,0
Menstrual_disorders,0.414,0,0,0
Miscellaneous_mental_health_disorders,0.525,0,0,0
Myodesopsia_and_other_eye_disorders,0.358,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.45,0,0,0
Osteoarthritis,0.4,0,0,0
Osteoporosis,0.371,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.344,0,0,0
Vision_defects,0.391,0,0,0
