"",ML15,ML1,ML6,ML9,ML12,ML14,ML10,ML5,ML13,ML2,ML3,ML7,ML4,ML8,ML11
Chronic_ulcer_of_skin,0,0.915,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.386,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0.481,0,0,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0.349,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0.393,0,0,0,0,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0.817,0,0,0,0,0,0,0,0,0,0,0
Atopic_dermatitis,0,0,0,0.504,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.315,0,0,0.366,0,0,0,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0.366,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0,0.878,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0.373,0,0,0,0,0,0,0.318,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0.354,0,0,0,0,0,0,0,0,0,0
Irritable_bowel_and_other_GI_disorders,0,0,0,0,0,0.945,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.369,0,0,0,0,0.416,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0.3,0,0,0,0,0.396,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0.377,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0.908,0,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0.339,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0.323,0,0,0,0,0,0,0,0
Acquired_foot_deformities,0,0,0,0,0,0,0,0.989,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0.309,0.407,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0.311,0,0,0,0,0,0
Obesity,0,0,0,0,0,0,0,0,0,0.952,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.387,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0
Chronic_kidney_disease,0,0,0,0,0,0,0,0,0,0,0,0.989,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0
Heart_valve_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
