"",ML4,ML1,ML2,ML3
Congestive_heart_failure__nonhypertensive,0,0.982,0,0
Coagulation_and_hemorrhagic_disorders,0,0.391,0,0
Heart_valve_disorders,0.394,0.381,0,0
Urinary_incontinence,0.366,0.365,0,0
Asthma,0,0,1.001,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0.56,0
Vision_defects,0,0,0.449,0.409
Depression_and_Mood_disorders,0,0,0.33,0
Chronic_kidney_disease,0,0,0,0.988
Cardiac_dysrhythmias,0,0,0,0.367
Acquired_foot_deformities,0,0,0,0
Adjustment_disorders,0.395,0,0,0
Allergic_rhinitis,0,0,0,0
Anxiety_disorders,0,0,0,0
Cataract,0.407,0,0,0
Chronic_ulcer_of_skin,0.438,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.487,0,0,0
Diabetes,0,0,0,0
Diseases_of_white_blood_cells,0.585,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0
Diverticulosis_and_diverticulitis,0.392,0,0,0
Glaucoma,0.529,0,0,0
Headache__including_migraine,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.422,0,0,0
Hypertension,0,0,0,0
Osteoporosis,0.36,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0
Thyroid_disorders,0.311,0,0,0
