"",ML5,ML6,ML4,ML2,ML1,ML3
Obesity,0,0.718,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0.606,0,0,0,0
Hypertension,0,0.445,0,0,0.313,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.429,0,0,0,0
Cataract,0,0.362,0,0,0,0
Disorders_of_lipid_metabolism,0,0.349,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0.332,0,0,0,0.348
Diabetes,0,0.32,0,0.388,0,0
Osteoarthritis,0,0.315,0,0,0,0
Chronic_ulcer_of_skin,0,0,0.825,0,0,0
Irritable_bowel_and_other_GI_disorders,0.419,0,0.523,0,0,0
Urinary_incontinence,0,0,0.506,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.499,0,0,0
Acute_cerebrovascular_disease,0,0,0.36,0,0,0
Depression_and_Mood_disorders,0.479,0,0.303,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0.982,0,0
Myodesopsia_and_other_eye_disorders,0.449,0,0,0.359,0,0
Ischemic_heart_disease,0,0,0,0,0.989,0
Chronic_kidney_disease,0,0,0,0,0.346,0
Glaucoma,0,0,0,0,0.303,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0.971
Heart_valve_disorders,0,0,0,0,0,0.323
Cardiac_dysrhythmias,0,0,0,0,0,0.317
Acquired_foot_deformities,0.471,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0,0
Allergic_rhinitis,0.346,0,0,0,0,0
Anxiety_disorders,0.426,0,0,0,0,0
Asthma,0,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.37,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0
Headache__including_migraine,0.379,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.367,0,0,0,0,0
Menopausal_disorders,0.674,0,0,0,0,0
Menstrual_disorders,0.432,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.352,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.396,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0
Vision_defects,0.353,0,0,0,0,0
