"",ML6,ML2,ML4,ML3,ML1,ML5
Asthma,0,1.009,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.355,0.541,0,0,0,0
Vision_defects,0,0.447,0,0,0,0.434
Depression_and_Mood_disorders,0,0.313,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.95,0,0,0
Heart_valve_disorders,0.479,0,0.354,0,0,0
Chronic_ulcer_of_skin,0,0,0,0.983,0,0
Urinary_incontinence,0,0,0,0.328,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0.311,0.385,0
Cardiac_dysrhythmias,0,0,0,0,0.977,0
Acquired_foot_deformities,0,0,0,0,0.386,0
Disorders_of_lipid_metabolism,0,0,0,0,0.328,0
Diverticulosis_and_diverticulitis,0.395,0,0,0,0.321,0
Chronic_kidney_disease,0,0,0,0,0,0.928
Thyroid_disorders,0,0,0,0,0,0.316
Adjustment_disorders,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0
Anxiety_disorders,0.322,0,0,0,0,0
Cataract,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.53,0,0,0,0,0
Diabetes,0,0,0,0,0,0
Diseases_of_white_blood_cells,0.491,0,0,0,0,0
Glaucoma,0.628,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.461,0,0,0,0,0
Hypertension,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0
