"",ML3,ML2,ML1
Congestive_heart_failure__nonhypertensive,0,0.986,0
Coagulation_and_hemorrhagic_disorders,0.377,0.433,0
Urinary_incontinence,0.354,0.356,0
Asthma,0,0,1.004
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0.561
Vision_defects,0,0,0.422
Depression_and_Mood_disorders,0,0,0.337
Acquired_foot_deformities,0,0,0
Adjustment_disorders,0.513,0,0
Allergic_rhinitis,0,0,0
Anxiety_disorders,0,0,0
Cardiac_dysrhythmias,0.468,0,0
Cataract,0.445,0,0
Chronic_kidney_disease,0.46,0,0
Chronic_ulcer_of_skin,0.357,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.496,0,0
Diabetes,0.339,0,0
Disorders_of_lipid_metabolism,0.303,0,0
Diverticulosis_and_diverticulitis,0,0,0
Glaucoma,0.557,0,0
Headache__including_migraine,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0
Hypertension,0.416,0,0
Osteoporosis,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.353,0,0
Thyroid_disorders,0.414,0,0
