"",ML11,ML1,ML8,ML6,ML5,ML10,ML3,ML7,ML4,ML2,ML9
Congestive_heart_failure__nonhypertensive,0,0.753,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0.529,0,0,0,0,0,0,0,0,0
Obesity,0,0.482,0,0,0,0,0.335,0,0,0,0
Cardiac_dysrhythmias,0,0.376,0,0,0,0,0,0.425,0,0,0
Chronic_ulcer_of_skin,0,0,0.962,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.539,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0.479,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0.998,0,0,0,0,0,0,0
Cataract,0,0,0,0.348,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0.996,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0.334,0,0,0,0.358,0,0
Atopic_dermatitis,0,0,0,0,0,0.961,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.375,0,0,0,0,0.354,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0.319,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0.878,0,0,0,0
Diabetes,0,0,0,0,0,0,0.478,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0.309,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0.96,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0.968,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0,0.968,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0.962
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0.354
Acquired_foot_deformities,0.413,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.417,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0.333,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0.438,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.664,0,0,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0.408,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.533,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0
