"",ML13,ML9,ML11,ML6,ML5,ML1,ML8,ML3,ML7,ML10,ML12,ML4,ML2
Chronic_ulcer_of_skin,0,0.962,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.546,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0.48,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.763,0,0,0,0,0,0,0,0,0,0
Obesity,0,0,0.452,0,0,0,0,0.358,0,0,0,0,0
Chronic_kidney_disease,0,0,0.427,0,0,0.31,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0.382,0,0,0,0,0,0,0.383,0,0,0
Disorders_of_lipid_metabolism,0,0,0.365,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0,0,0,0.986,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0,0,0,0.317,0.308,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0.304,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0.999,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0.356,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0.945,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0.975,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0.314,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0.848,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0.503,0,0,0,0,0
Esophageal_disorders,0.474,0,0,0,0,0,0,0.317,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0,0,0,0.972,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0.945,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0,0,0.955,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0.985,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0.962
Adjustment_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.345
Acquired_foot_deformities,0.508,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.359,0,0,0,0,0,0,0,0,0,0,0,0
Asthma,0.466,0,0,0,0,0,0,0,0,0,0,0,0
Atopic_dermatitis,0.334,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.376,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0.306,0,0,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0.367,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0
