"",ML5,ML4,ML2,ML1,ML6,ML3
Hepatic_steatosis_and_other_liver_diseases,0,0.753,0,0,0,0
Alcohol-related_disorders,0,0.646,0,0,0,0
Adictions,0,0.633,0,0,0,0
Hepatitis,0,0.546,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.504,0,0,0,0
Epilepsy__convulsions,0,0.455,0,0,0,0
Depression_and_Mood_disorders,0.355,0.399,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.396,0,0,0,0
Anxiety_disorders,0.421,0.3,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.994,0,0,0
Hypertension,0,0,0.567,0,0,0
Glaucoma,0,0,0.341,0,0,0
Obesity,0,0,0.336,0,0.332,0
Cardiac_dysrhythmias,0,0,0,0.99,0,0
Osteoarthritis,0.416,0,0,0.321,0,0
Atopic_dermatitis,0,0,0,0,0.74,0
Adjustment_disorders,0,0,0,0,0.474,0
Miscellaneous_mental_health_disorders,0,0,0,0,0.327,0
Headache__including_migraine,0.328,0,0,0,0.323,0
Menstrual_disorders,0,0,0,0,0.312,0
Acquired_foot_deformities,0,0,0,0,0,0.969
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.432,0,0,0,0,0.344
Allergic_rhinitis,0,0,0,0,0,0
Asthma,0,0,0,0,0,0
Cataract,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.44,0,0,0,0,0
Diabetes,0.402,0,0,0,0,0
Disorders_of_lipid_metabolism,0.426,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0
Menopausal_disorders,0.518,0,0,0,0,0
Neoplasms,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.499,0,0,0,0,0
Nonmalignant_breast_conditions,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0
Thyroid_disorders,0.441,0,0,0,0,0
Urinary_incontinence,0.367,0,0,0,0,0
Vision_defects,0.313,0,0,0,0,0
