"",ML3,ML2,ML1
Hepatic_steatosis_and_other_liver_diseases,0,0.695,0
Adictions,0,0.655,0
Alcohol-related_disorders,0,0.65,0
Hepatitis,0,0.637,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.591,0
Depression_and_Mood_disorders,0.325,0.424,0
Anxiety_disorders,0.431,0.331,0
Acquired_foot_deformities,0,0,0.993
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.321,0,0.301
Adjustment_disorders,0.353,0,0
Allergic_rhinitis,0.338,0,0
Asthma,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0
Diabetes,0.529,0,0
Disorders_of_lipid_metabolism,0.583,0,0
Esophageal_disorders,0,0,0
Headache__including_migraine,0.505,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0
Hypertension,0.479,0,0
Menopausal_disorders,0.464,0,0
Menstrual_disorders,0.353,0,0
Miscellaneous_mental_health_disorders,0.478,0,0
Neoplasms,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0
Obesity,0.459,0,0
Osteoarthritis,0.401,0,0
Osteoporosis,0,0,0
Thyroid_disorders,0.438,0,0
Urinary_incontinence,0.385,0,0
Vision_defects,0.312,0,0
