"",ML5,ML4,ML2,ML1,ML3
Hepatic_steatosis_and_other_liver_diseases,0,0.768,0,0,0
Adictions,0,0.646,0,0,0
Alcohol-related_disorders,0,0.634,0,0,0
Hepatitis,0,0.516,0,0,0
Epilepsy__convulsions,0,0.49,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.456,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.424,0,0,0
Depression_and_Mood_disorders,0.392,0.398,0,0,0
Anxiety_disorders,0.479,0.308,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.993,0,0
Hypertension,0,0,0.548,0,0
Glaucoma,0,0,0.372,0,0
Cardiac_dysrhythmias,0,0,0,0.986,0
Osteoarthritis,0.353,0,0,0.306,0
Acquired_foot_deformities,0,0,0,0,0.969
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.443,0,0,0,0.34
Adjustment_disorders,0.389,0,0,0,0
Allergic_rhinitis,0.324,0,0,0,0
Asthma,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0
Cataract,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.397,0,0,0,0
Diabetes,0.386,0,0,0,0
Disorders_of_lipid_metabolism,0.474,0,0,0,0
Esophageal_disorders,0,0,0,0,0
Headache__including_migraine,0.455,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0
Menopausal_disorders,0.493,0,0,0,0
Menstrual_disorders,0.33,0,0,0,0
Miscellaneous_mental_health_disorders,0.396,0,0,0,0
Neoplasms,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.364,0,0,0,0
Nonmalignant_breast_conditions,0,0,0,0,0
Obesity,0.333,0,0,0,0
Osteoporosis,0,0,0,0,0
Thyroid_disorders,0.459,0,0,0,0
Urinary_incontinence,0.392,0,0,0,0
Vision_defects,0.347,0,0,0,0
