"",ML3,ML4,ML5,ML1,ML2
Miscellaneous_mental_health_disorders,0,0.663,0,0,0
Headache__including_migraine,0,0.54,0,0,0
Menstrual_disorders,0,0.426,0,0,0
Allergic_rhinitis,0,0.4,0,0,0
Adjustment_disorders,0,0.38,0,0,0
Anxiety_disorders,0.36,0.363,0,0,0
Diabetes,0,0,0.645,0,0
Hypertension,0,0,0.574,0,0
Osteoporosis,0,0,0.516,0,0
Disorders_of_lipid_metabolism,0,0,0.499,0,0
Thyroid_disorders,0,0,0.426,0,0
Neoplasms,0,0,0.42,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0.988,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0.364,0
Acquired_foot_deformities,0,0,0,0,0.975
Adictions,0.662,0,0,0,0
Alcohol-related_disorders,0.665,0,0,0,0
Asthma,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.605,0,0,0,0
Depression_and_Mood_disorders,0.44,0,0,0,0
Esophageal_disorders,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0.681,0,0,0,0
Hepatitis,0.63,0,0,0,0
Menopausal_disorders,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0
Obesity,0,0,0,0,0
Osteoarthritis,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0
Vision_defects,0,0,0,0,0
