"",ML7,ML5,ML1,ML4,ML2,ML3,ML6
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.59,0,0,0,0,0
Acquired_foot_deformities,0,0.524,0,0,0,0,0
Osteoarthritis,0,0.482,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.458,0,0,0,0,0
Diabetes,0,0,0.982,0,0,0,0
Obesity,0,0,0.368,0,0,0,0
Hypertension,0,0,0,0.982,0,0,0
Nonmalignant_breast_conditions,0,0,0,0,0.993,0,0
Adjustment_disorders,0,0,0,0,0,0.994,0
Osteoporosis,0,0,0,0,0,0,0.74
Menopausal_disorders,0,0,0,0,0,0,0.316
Allergic_rhinitis,0.303,0,0,0,0,0,0
Anxiety_disorders,0.488,0,0,0,0,0,0
Asthma,0.342,0,0,0,0,0,0
Depression_and_Mood_disorders,0.326,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0
Esophageal_disorders,0.358,0,0,0,0,0,0
Headache__including_migraine,0.489,0,0,0,0,0,0
Menstrual_disorders,0.607,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.489,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0
Urinary_incontinence,0.354,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0
