"",ML6,ML1,ML5,ML4,ML2,ML3,ML7,ML8
Diabetes,0,0.993,0,0,0,0,0,0
Obesity,0.331,0.327,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0.302,0,0,0,0,0,0
Hypertension,0,0,0.982,0,0,0,0,0
Osteoarthritis,0,0,0,0.997,0,0,0,0
Nonmalignant_breast_conditions,0,0,0,0,0.994,0,0,0
Adjustment_disorders,0,0,0,0,0,0.99,0,0
Osteoporosis,0,0,0,0,0,0,0.761,0
Menopausal_disorders,0,0,0,0,0,0,0.328,0
Acquired_foot_deformities,0,0,0,0,0,0,0,0.679
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.347,0,0,0,0,0,0,0.312
Allergic_rhinitis,0.302,0,0,0,0,0,0,0
Anxiety_disorders,0.471,0,0,0,0,0,0,0
Asthma,0.402,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.334,0,0,0,0,0,0,0
Esophageal_disorders,0.361,0,0,0,0,0,0,0
Headache__including_migraine,0.465,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0
Menstrual_disorders,0.603,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.486,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0
Urinary_incontinence,0.354,0,0,0,0,0,0,0
Vision_defects,0.338,0,0,0,0,0,0,0
