"",ML2,ML3,ML1,ML4
Menstrual_disorders,0,0.687,0,0
Miscellaneous_mental_health_disorders,0,0.511,0,0
Headache__including_migraine,0,0.503,0,0
Anxiety_disorders,0,0.453,0,0
Nonmalignant_breast_conditions,0,0.387,0,0
Allergic_rhinitis,0,0.379,0,0
Asthma,0,0.329,0,0
Diabetes,0,0,1.006,0
Obesity,0,0,0.33,0.409
Hypertension,0,0,0,0.417
Acquired_foot_deformities,0.534,0,0,0
Adjustment_disorders,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0
Disorders_of_lipid_metabolism,0.384,0,0,0
Esophageal_disorders,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.375,0,0,0
Menopausal_disorders,0.461,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.317,0,0,0
Osteoarthritis,0.617,0,0,0
Osteoporosis,0.504,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.501,0,0,0
Thyroid_disorders,0,0,0,0
Urinary_incontinence,0,0,0,0
Vision_defects,0,0,0,0
