"",ML6,ML7,ML8,ML5,ML2,ML4,ML1,ML3
Thyroid_disorders,0,0.471,0,0,0,0,0,0
Menopausal_disorders,0,0.458,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.439,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.406,0,0,0,0.354,0,0
Diabetes,0,0.375,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0.358,0,0,0,0,0,0
Depression_and_Mood_disorders,0.414,0.355,0,0,0,0,0,0
Urinary_incontinence,0,0.326,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.32,0,0,0,0,0,0
Anxiety_disorders,0.329,0.305,0,0,0,0,0,0
Vision_defects,0,0.301,0,0,0,0,0,0
Osteoarthritis,0,0.3,0,0,0.33,0,0,0
Adjustment_disorders,0,0,0.537,0,0,0,0,0
Allergic_rhinitis,0,0,0.513,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0.484,0,0,0,0,0
Headache__including_migraine,0,0,0.409,0,0,0,0,0
Atopic_dermatitis,0,0,0.402,0,0,0,0,0
Menstrual_disorders,0,0,0.398,0,0,0,0,0
Obesity,0,0,0.31,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0.965,0,0,0,0
Hypertension,0,0,0,0.561,0,0,0,0
Neoplasms,0,0,0,0.354,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0.991,0,0,0
Acquired_foot_deformities,0,0,0,0,0,0.969,0,0
Glaucoma,0,0,0,0,0,0,0.979,0
Cataract,0,0,0,0,0,0,0,0.985
Adictions,0.65,0,0,0,0,0,0,0
Alcohol-related_disorders,0.647,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.502,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.417,0,0,0,0,0,0,0
Epilepsy__convulsions,0.447,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0.756,0,0,0,0,0,0,0
Hepatitis,0.52,0,0,0,0,0,0,0
Nonmalignant_breast_conditions,0,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0,0
