"",ML9,ML8,ML7,ML2,ML5,ML6,ML1,ML4,ML3
Hepatic_steatosis_and_other_liver_diseases,0,0.769,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0.633,0,0,0,0,0,0,0
Adictions,0,0.617,0,0,0,0,0,0,0
Hepatitis,0,0.551,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.449,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.435,0,0,0,0,0,0,0
Epilepsy__convulsions,0,0.423,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.369,0.385,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.941,0,0,0,0,0,0
Hypertension,0,0,0.546,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0.991,0,0,0,0,0
Osteoarthritis,0,0,0,0.339,0,0,0,0,0
Cataract,0,0,0,0,0.987,0,0,0,0
Acquired_foot_deformities,0,0,0,0,0,0.962,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.415,0,0,0,0,0.352,0,0,0
Glaucoma,0,0,0,0,0,0,0.978,0,0
Atopic_dermatitis,0,0,0,0,0,0,0,0.994,0
Neoplasms,0,0,0,0,0,0,0,0,0.971
Osteoporosis,0,0,0,0,0,0,0,0,0.301
Adjustment_disorders,0.394,0,0,0,0,0,0,0,0
Allergic_rhinitis,0.339,0,0,0,0,0,0,0,0
Anxiety_disorders,0.465,0,0,0,0,0,0,0,0
Asthma,0.305,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.414,0,0,0,0,0,0,0,0
Diabetes,0.324,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.401,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.47,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0.474,0,0,0,0,0,0,0,0
Menstrual_disorders,0.32,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.401,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.442,0,0,0,0,0,0,0,0
Nonmalignant_breast_conditions,0,0,0,0,0,0,0,0,0
Obesity,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0.334,0,0,0,0,0,0,0,0
Urinary_incontinence,0.387,0,0,0,0,0,0,0,0
Vision_defects,0.333,0,0,0,0,0,0,0,0
